"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0009575","chromoplast stroma",136,25,1.29,"1.1e-25"
"GO:0009509","chromoplast",143,25,1.36,"4.2e-25"
"GO:0009570","chloroplast stroma",980,29,9.31,"2.4e-08"
"GO:0009532","plastid stroma",987,29,9.38,"2.8e-08"
"GO:0009507","chloroplast",2691,47,25.57,"5.7e-06"
"GO:0009536","plastid",2766,47,26.28,"1.2e-05"
"GO:0032421","stereocilium bundle",1,1,0.01,"0.0095"
"GO:0098862","cluster of actin-based cell projections",1,1,0.01,"0.0095"
"GO:0009706","chloroplast inner membrane",52,3,0.49,"0.0132"
"GO:0009528","plastid inner membrane",55,3,0.52,"0.0153"
"GO:0019866","organelle inner membrane",277,7,2.63,"0.0165"
"GO:0005918","septate junction",2,1,0.02,"0.0189"
"GO:0005923","bicellular tight junction",2,1,0.02,"0.0189"
"GO:0016327","apicolateral plasma membrane",2,1,0.02,"0.0189"
"GO:0070160","tight junction",2,1,0.02,"0.0189"
"GO:0097574","lateral part of cell",2,1,0.02,"0.0189"
"GO:1990794","basolateral part of cell",2,1,0.02,"0.0189"
"GO:0030964","NADH dehydrogenase complex",60,3,0.57,"0.0193"
"GO:0045271","respiratory chain complex I",60,3,0.57,"0.0193"
"GO:0000428","DNA-directed RNA polymerase complex",165,5,1.57,"0.0205"
