"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0015750","pentose transmembrane transport",5,2,0.02,"0.00015"
"GO:0090696","post-embryonic plant organ development",219,5,0.86,"0.00159"
"GO:0048528","post-embryonic root development",164,4,0.64,"0.00379"
"GO:0003016","respiratory system process",1,1,0,"0.00391"
"GO:0003407","neural retina development",1,1,0,"0.00391"
"GO:0007585","respiratory gaseous exchange by respirat...",1,1,0,"0.00391"
"GO:0010842","retina layer formation",1,1,0,"0.00391"
"GO:0015751","arabinose transmembrane transport",1,1,0,"0.00391"
"GO:0016082","synaptic vesicle priming",1,1,0,"0.00391"
"GO:0019448","L-cysteine catabolic process",1,1,0,"0.00391"
"GO:0019450","L-cysteine catabolic process to pyruvate",1,1,0,"0.00391"
"GO:0035845","photoreceptor cell outer segment organiz...",1,1,0,"0.00391"
"GO:0042670","retinal cone cell differentiation",1,1,0,"0.00391"
"GO:0042882","L-arabinose transmembrane transport",1,1,0,"0.00391"
"GO:0043010","camera-type eye development",1,1,0,"0.00391"
"GO:0043576","regulation of respiratory gaseous exchan...",1,1,0,"0.00391"
"GO:0044065","regulation of respiratory system process",1,1,0,"0.00391"
"GO:0046548","retinal rod cell development",1,1,0,"0.00391"
"GO:0046549","retinal cone cell development",1,1,0,"0.00391"
"GO:0048593","camera-type eye morphogenesis",1,1,0,"0.00391"
