"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0015146","pentose transmembrane transporter activi...",5,2,0.02,"0.00015"
"GO:0003823","antigen binding",1,1,0,"0.00398"
"GO:0042900","arabinose transmembrane transporter acti...",1,1,0,"0.00398"
"GO:0016747","acyltransferase activity, transferring g...",184,4,0.73,"0.00598"
"GO:0004312","fatty acid synthase activity",32,2,0.13,"0.00712"
"GO:0005544","calcium-dependent phospholipid binding",2,1,0.01,"0.00795"
"GO:0044547","DNA topoisomerase binding",2,1,0.01,"0.00795"
"GO:0048531","beta-1,3-galactosyltransferase activity",2,1,0.01,"0.00795"
"GO:0051749","indole acetic acid carboxyl methyltransf...",2,1,0.01,"0.00795"
"GO:0080146","L-cysteine desulfhydrase activity",2,1,0.01,"0.00795"
"GO:0005351","carbohydrate:proton symporter activity",39,2,0.16,"0.01046"
"GO:0005402","carbohydrate:monoatomic cation symporter...",39,2,0.16,"0.01046"
"GO:0015149","hexose transmembrane transporter activit...",39,2,0.16,"0.01046"
"GO:0015145","monosaccharide transmembrane transporter...",40,2,0.16,"0.01098"
"GO:0004476","mannose-6-phosphate isomerase activity",3,1,0.01,"0.01191"
"GO:0017075","syntaxin-1 binding",3,1,0.01,"0.01191"
"GO:0005354","galactose transmembrane transporter acti...",4,1,0.02,"0.01585"
"GO:0015148","D-xylose transmembrane transporter activ...",4,1,0.02,"0.01585"
"GO:0015575","mannitol transmembrane transporter activ...",4,1,0.02,"0.01585"
"GO:0015576","sorbitol transmembrane transporter activ...",4,1,0.02,"0.01585"
