"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0090304","nucleic acid metabolic process",3423,193,147.67,"6.6e-06"
"GO:0051276","chromosome organization",614,49,26.49,"2.2e-05"
"GO:0006325","chromatin organization",488,41,21.05,"3.3e-05"
"GO:0006338","chromatin remodeling",301,29,12.99,"4.3e-05"
"GO:0016070","RNA metabolic process",3038,169,131.06,"8.0e-05"
"GO:0003002","regionalization",194,21,8.37,"9.6e-05"
"GO:0009451","RNA modification",606,46,26.14,"0.00013"
"GO:0022414","reproductive process",1712,104,73.86,"0.00013"
"GO:0048440","carpel development",79,12,3.41,"0.00013"
"GO:0000122","negative regulation of transcription by ...",37,8,1.6,"0.00014"
"GO:0051214","RNAi-mediated antiviral immunity against...",14,5,0.6,"0.00021"
"GO:1901699","cellular response to nitrogen compound",193,20,8.33,"0.00025"
"GO:0006139","nucleobase-containing compound metabolic...",3850,203,166.09,"0.00028"
"GO:0010492","maintenance of shoot apical meristem ide...",31,7,1.34,"0.00028"
"GO:0040029","epigenetic regulation of gene expression",226,22,9.75,"0.00031"
"GO:0043412","macromolecule modification",2490,139,107.42,"0.00040"
"GO:0009616","RNAi-mediated antiviral immune response",33,7,1.42,"0.00043"
"GO:0048467","gynoecium development",90,12,3.88,"0.00047"
"GO:0043170","macromolecule metabolic process",6022,296,259.8,"0.00066"
"GO:0009944","polarity specification of adaxial/abaxia...",36,7,1.55,"0.00075"
