"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0004519","endonuclease activity",566,49,24.64,"2.7e-06"
"GO:0004518","nuclease activity",634,53,27.61,"2.9e-06"
"GO:0016788","hydrolase activity, acting on ester bond...",1041,65,45.33,"0.0017"
"GO:0030346","protein phosphatase 2B binding",2,2,0.09,"0.0019"
"GO:0140640","catalytic activity, acting on a nucleic ...",530,37,23.08,"0.0030"
"GO:0015245","fatty acid transmembrane transporter act...",15,4,0.65,"0.0033"
"GO:0016787","hydrolase activity",2396,129,104.33,"0.0034"
"GO:0170055","lipid transmembrane transporter activity",25,5,1.09,"0.0039"
"GO:0140993","histone modifying activity",86,10,3.74,"0.0040"
"GO:0005342","organic acid transmembrane transporter a...",132,13,5.75,"0.0049"
"GO:0046943","carboxylic acid transmembrane transporte...",132,13,5.75,"0.0049"
"GO:0004521","RNA endonuclease activity",65,8,2.83,"0.0069"
"GO:0004525","ribonuclease III activity",29,5,1.26,"0.0076"
"GO:0032296","double-stranded RNA-specific ribonucleas...",29,5,1.26,"0.0076"
"GO:0003824","catalytic activity",6128,291,266.82,"0.0095"
"GO:0000026","alpha-1,2-mannosyltransferase activity",4,2,0.17,"0.0107"
"GO:0004376","glycolipid mannosyltransferase activity",4,2,0.17,"0.0107"
"GO:0004377","GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-man...",4,2,0.17,"0.0107"
"GO:0004738","pyruvate dehydrogenase activity",4,2,0.17,"0.0107"
"GO:0004739","pyruvate dehydrogenase (acetyl-transferr...",4,2,0.17,"0.0107"
