"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0009575","chromoplast stroma",136,25,6.05,"1.2e-09"
"GO:0009509","chromoplast",143,25,6.36,"3.6e-09"
"GO:0016581","NuRD complex",10,4,0.44,"0.00065"
"GO:0090545","CHD-type complex",10,4,0.44,"0.00065"
"GO:0016442","RISC complex",20,5,0.89,"0.00152"
"GO:0031332","RNAi effector complex",20,5,0.89,"0.00152"
"GO:0070603","SWI/SNF superfamily-type complex",31,6,1.38,"0.00214"
"GO:0061695","transferase complex, transferring phosph...",201,18,8.93,"0.00372"
"GO:0016589","NURF complex",3,2,0.13,"0.00574"
"GO:1990234","transferase complex",489,34,21.74,"0.00650"
"GO:0080008","Cul4-RING E3 ubiquitin ligase complex",65,8,2.89,"0.00786"
"GO:0031010","ISWI-type complex",4,2,0.18,"0.01115"
"GO:1904949","ATPase complex",56,7,2.49,"0.01159"
"GO:1990391","DNA repair complex",32,5,1.42,"0.01269"
"GO:0000428","DNA-directed RNA polymerase complex",165,14,7.33,"0.01532"
"GO:0030880","RNA polymerase complex",165,14,7.33,"0.01532"
"GO:0015630","microtubule cytoskeleton",249,19,11.07,"0.01544"
"GO:0005942","phosphatidylinositol 3-kinase complex",13,3,0.58,"0.01790"
"GO:0035032","phosphatidylinositol 3-kinase complex, c...",13,3,0.58,"0.01790"
"GO:0005694","chromosome",414,28,18.4,"0.01792"
