"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0006259","DNA metabolic process",592,33,11.98,"1.1e-07"
"GO:0006974","DNA damage response",400,25,8.1,"5.4e-07"
"GO:0006310","DNA recombination",181,16,3.66,"7.9e-07"
"GO:0006281","DNA repair",335,22,6.78,"1.2e-06"
"GO:0042127","regulation of cell population proliferat...",123,12,2.49,"7.1e-06"
"GO:0043412","macromolecule modification",2489,79,50.37,"9.1e-06"
"GO:0046854","phosphatidylinositol phosphate biosynthe...",28,6,0.57,"1.7e-05"
"GO:0002200","somatic diversification of immune recept...",9,4,0.18,"1.9e-05"
"GO:0002377","immunoglobulin production",9,4,0.18,"1.9e-05"
"GO:0002440","production of molecular mediator of immu...",9,4,0.18,"1.9e-05"
"GO:0016445","somatic diversification of immunoglobuli...",9,4,0.18,"1.9e-05"
"GO:0033554","cellular response to stress",1157,44,23.42,"2.8e-05"
"GO:0006661","phosphatidylinositol biosynthetic proces...",45,7,0.91,"3.0e-05"
"GO:0071230","cellular response to amino acid stimulus",19,5,0.38,"3.0e-05"
"GO:0046834","lipid phosphorylation",31,6,0.63,"3.1e-05"
"GO:0071233","cellular response to L-leucine",4,3,0.08,"3.2e-05"
"GO:0051276","chromosome organization",604,28,12.22,"3.5e-05"
"GO:0009987","cellular process",10318,227,208.82,"4.3e-05"
"GO:0006260","DNA replication",147,12,2.98,"4.3e-05"
"GO:0006261","DNA-templated DNA replication",127,11,2.57,"5.2e-05"
