"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0070852","cell body fiber",2,2,0.04,"0.00042"
"GO:0070772","PAS complex",8,3,0.16,"0.00045"
"GO:0005942","phosphatidylinositol 3-kinase complex",11,3,0.23,"0.00126"
"GO:0035032","phosphatidylinositol 3-kinase complex, c...",11,3,0.23,"0.00126"
"GO:0032300","mismatch repair complex",24,4,0.49,"0.00135"
"GO:0000329","fungal-type vacuole membrane",14,3,0.29,"0.00266"
"GO:0005886","plasma membrane",2452,68,50.5,"0.00422"
"GO:0005911","cell-cell junction",777,27,16,"0.00524"
"GO:0070161","anchoring junction",777,27,16,"0.00524"
"GO:0000324","fungal-type vacuole",18,3,0.37,"0.00560"
"GO:0030054","cell junction",803,27,16.54,"0.00802"
"GO:0009514","glyoxysome",21,3,0.43,"0.00873"
"GO:0005871","kinesin complex",64,5,1.32,"0.01011"
"GO:0010008","endosome membrane",93,6,1.92,"0.01234"
"GO:1990234","transferase complex",457,17,9.41,"0.01361"
"GO:0009506","plasmodesma",763,25,15.72,"0.01432"
"GO:0055044","symplast",763,25,15.72,"0.01432"
"GO:0016592","mediator complex",72,5,1.48,"0.01626"
"GO:0005654","nucleoplasm",733,24,15.1,"0.01640"
"GO:0030687","preribosome, large subunit precursor",28,3,0.58,"0.01934"
