"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0080116","glucuronoxylan glucuronosyltransferase a...",7,2,0.04,"0.00058"
"GO:0005216","monoatomic ion channel activity",87,4,0.47,"0.00118"
"GO:0008466","glycogenin glucosyltransferase activity",12,2,0.06,"0.00180"
"GO:0016165","linoleate 13S-lipoxygenase activity",12,2,0.06,"0.00180"
"GO:0016709","oxidoreductase activity, acting on paire...",107,4,0.57,"0.00253"
"GO:0016705","oxidoreductase activity, acting on paire...",197,5,1.06,"0.00396"
"GO:0005261","monoatomic cation channel activity",64,3,0.34,"0.00482"
"GO:0000250","lanosterol synthase activity",1,1,0.01,"0.00536"
"GO:0047268","galactinol-raffinose galactosyltransfera...",1,1,0.01,"0.00536"
"GO:0015267","channel activity",136,4,0.73,"0.00597"
"GO:0022803","passive transmembrane transporter activi...",136,4,0.73,"0.00597"
"GO:0015020","glucuronosyltransferase activity",24,2,0.13,"0.00722"
"GO:0005267","potassium channel activity",31,2,0.17,"0.01188"
"GO:0016702","oxidoreductase activity, acting on singl...",31,2,0.17,"0.01188"
"GO:0051213","dioxygenase activity",94,3,0.5,"0.01386"
"GO:0004497","monooxygenase activity",174,4,0.93,"0.01393"
"GO:0008422","beta-glucosidase activity",34,2,0.18,"0.01419"
"GO:0017046","peptide hormone binding",3,1,0.02,"0.01600"
"GO:0004553","hydrolase activity, hydrolyzing O-glycos...",188,4,1.01,"0.01801"
"GO:0016701","oxidoreductase activity, acting on singl...",40,2,0.21,"0.01933"
