"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0071230","cellular response to amino acid stimulus",19,6,0.63,"2.4e-05"
"GO:0046834","lipid phosphorylation",31,7,1.03,"5.6e-05"
"GO:0006310","DNA recombination",181,17,6.02,"0.00011"
"GO:0002200","somatic diversification of immune recept...",9,4,0.3,"0.00013"
"GO:0002377","immunoglobulin production",9,4,0.3,"0.00013"
"GO:0002440","production of molecular mediator of immu...",9,4,0.3,"0.00013"
"GO:0016445","somatic diversification of immunoglobuli...",9,4,0.3,"0.00013"
"GO:0071233","cellular response to L-leucine",4,3,0.13,"0.00014"
"GO:0042127","regulation of cell population proliferat...",123,13,4.09,"0.00022"
"GO:0046854","phosphatidylinositol phosphate biosynthe...",28,6,0.93,"0.00026"
"GO:0006259","DNA metabolic process",592,36,19.68,"0.00033"
"GO:0043201","response to L-leucine",5,3,0.17,"0.00035"
"GO:0043200","response to amino acid",30,6,1,"0.00039"
"GO:0006661","phosphatidylinositol biosynthetic proces...",45,7,1.5,"0.00065"
"GO:0032006","regulation of TOR signaling",6,3,0.2,"0.00068"
"GO:0043412","macromolecule modification",2489,109,82.76,"0.00082"
"GO:0046488","phosphatidylinositol metabolic process",62,8,2.06,"0.00098"
"GO:0006811","monoatomic ion transport",745,41,24.77,"0.00098"
"GO:0006820","monoatomic anion transport",340,23,11.3,"0.00100"
"GO:0006261","DNA-templated DNA replication",127,12,4.22,"0.00106"
