"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0003824","catalytic activity",5773,245,198.95,"1.5e-07"
"GO:0140657","ATP-dependent activity",555,44,19.13,"1.6e-07"
"GO:0016887","ATP hydrolysis activity",512,41,17.64,"3.5e-07"
"GO:0017111","ribonucleoside triphosphate phosphatase ...",601,45,20.71,"6.0e-07"
"GO:0016462","pyrophosphatase activity",645,46,22.23,"1.7e-06"
"GO:0016818","hydrolase activity, acting on acid anhyd...",650,46,22.4,"2.2e-06"
"GO:0016817","hydrolase activity, acting on acid anhyd...",653,46,22.5,"2.4e-06"
"GO:0016787","hydrolase activity",2163,105,74.54,"6.2e-05"
"GO:0004031","aldehyde oxidase activity",8,4,0.28,"8.7e-05"
"GO:0010293","abscisic aldehyde oxidase activity",8,4,0.28,"8.7e-05"
"GO:0016623","oxidoreductase activity, acting on the a...",8,4,0.28,"8.7e-05"
"GO:0018479","benzaldehyde dehydrogenase (NAD+) activi...",8,4,0.28,"8.7e-05"
"GO:0018488","aryl-aldehyde oxidase activity",8,4,0.28,"8.7e-05"
"GO:0019115","benzaldehyde dehydrogenase [NAD(P)+] act...",8,4,0.28,"8.7e-05"
"GO:0050302","indole-3-acetaldehyde oxidase activity",8,4,0.28,"8.7e-05"
"GO:0032135","DNA insertion or deletion binding",9,4,0.31,"0.00015"
"GO:0140097","catalytic activity, acting on DNA",167,16,5.76,"0.00021"
"GO:0004519","endonuclease activity",467,31,16.09,"0.00034"
"GO:0038023","signaling receptor activity",231,19,7.96,"0.00039"
"GO:0060089","molecular transducer activity",254,20,8.75,"0.00049"
