## Sat May 10 03:14:27 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_a8n94ccl --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_a8n94ccl --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_a8n94ccl/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g129	4113.PGSC0003DMT400045538	4e-252	694.0	COG0085@1|root,KOG0214@2759|Eukaryota,37HVP@33090|Viridiplantae,3G72V@35493|Streptophyta	35493|Streptophyta	K	rna polymerase	rpoB	GO:0000428,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0030880,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0061695,GO:1902494,GO:1990234	2.7.7.6	ko:K03043	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_Rpb2_1,RNA_pol_Rpb2_2,RNA_pol_Rpb2_3,RNA_pol_Rpb2_6,RNA_pol_Rpb2_7
g164	4081.Solyc01g007640.2.1	0.0	4256.0	2CMQD@1|root,2QRDV@2759|Eukaryota,37QIN@33090|Viridiplantae,3GEA1@35493|Streptophyta,44PKI@71274|asterids	35493|Streptophyta	C	Plant protein of unknown function (DUF825)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009509,GO:0009532,GO:0009536,GO:0009570,GO:0009575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	AAA,DUF825
g263	4113.PGSC0003DMT400065564	1.74e-63	204.0	COG4886@1|root,KOG0619@2759|Eukaryota	2759|Eukaryota	U	regulation of response to stimulus	-	-	-	-	-	-	-	-	-	-	-	-	LRRNT_2,LRR_1,LRR_6,LRR_8
g275	4096.XP_009766783.1	2.3e-82	277.0	KOG4197@1|root,KOG4197@2759|Eukaryota,37RH1@33090|Viridiplantae,3GGGX@35493|Streptophyta,44S8A@71274|asterids	35493|Streptophyta	S	PPR1 protein	-	GO:0000959,GO:0000963,GO:0000966,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004016,GO:0004518,GO:0004519,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0009451,GO:0009791,GO:0009845,GO:0009975,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016556,GO:0016787,GO:0016788,GO:0016829,GO:0016849,GO:0032501,GO:0032502,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0048856,GO:0071704,GO:0080156,GO:0090304,GO:0090305,GO:0090351,GO:0090615,GO:0097159,GO:0140053,GO:1900864,GO:1901360,GO:1901363	-	ko:K17710,ko:K17964	-	-	-	-	ko00000,ko03016,ko03029	-	-	-	PPR,PPR_1,PPR_2,PPR_3
g382	3702.ATCG01100.1	8.44e-190	534.0	COG1005@1|root,KOG4770@2759|Eukaryota,37RCJ@33090|Viridiplantae,3GDCI@35493|Streptophyta	35493|Streptophyta	C	NDH shuttles electrons from NAD(P)H plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient	ndhA	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0006091,GO:0008150,GO:0008152,GO:0009507,GO:0009536,GO:0009987,GO:0015979,GO:0015980,GO:0016020,GO:0016491,GO:0016651,GO:0019866,GO:0030964,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045271,GO:0045333,GO:0055114,GO:0070469,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1902494,GO:1990204	1.6.5.3	ko:K05572	ko00190,ko01100,map00190,map01100	M00145	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	-	-	-	NADHdh
g455	4081.Solyc01g007640.2.1	0.0	4001.0	2CMQD@1|root,2QRDV@2759|Eukaryota,37QIN@33090|Viridiplantae,3GEA1@35493|Streptophyta,44PKI@71274|asterids	35493|Streptophyta	C	Plant protein of unknown function (DUF825)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009509,GO:0009532,GO:0009536,GO:0009570,GO:0009575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	AAA,DUF825
g536	4081.Solyc01g007640.2.1	0.0	4256.0	2CMQD@1|root,2QRDV@2759|Eukaryota,37QIN@33090|Viridiplantae,3GEA1@35493|Streptophyta,44PKI@71274|asterids	35493|Streptophyta	C	Plant protein of unknown function (DUF825)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009509,GO:0009532,GO:0009536,GO:0009570,GO:0009575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	AAA,DUF825
g949	4113.PGSC0003DMT400036532	3.09e-243	668.0	COG0202@1|root,2QRS7@2759|Eukaryota,37QVG@33090|Viridiplantae,3GHDB@35493|Streptophyta,44N87@71274|asterids	35493|Streptophyta	K	Bacterial RNA polymerase, alpha chain C terminal domain	rpoA	GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006354,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009295,GO:0009507,GO:0009532,GO:0009534,GO:0009536,GO:0009570,GO:0009579,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0031976,GO:0031984,GO:0032774,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901576	2.7.7.6	ko:K03040	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_A_CTD,RNA_pol_A_bac,RNA_pol_L
g980	4081.Solyc01g007640.2.1	0.0	4256.0	2CMQD@1|root,2QRDV@2759|Eukaryota,37QIN@33090|Viridiplantae,3GEA1@35493|Streptophyta,44PKI@71274|asterids	35493|Streptophyta	C	Plant protein of unknown function (DUF825)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009509,GO:0009532,GO:0009536,GO:0009570,GO:0009575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	AAA,DUF825
g985	3880.AES87799	1.29e-122	349.0	COG1290@1|root,KOG4663@2759|Eukaryota,37NKU@33090|Viridiplantae,3G85T@35493|Streptophyta,4JV2U@91835|fabids	35493|Streptophyta	C	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions	petD	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0016020,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035	-	ko:K02637	ko00195,ko01100,map00195,map01100	M00162	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	Cytochrom_B_C
g1162	4081.Solyc01g007640.2.1	0.0	4256.0	2CMQD@1|root,2QRDV@2759|Eukaryota,37QIN@33090|Viridiplantae,3GEA1@35493|Streptophyta,44PKI@71274|asterids	35493|Streptophyta	C	Plant protein of unknown function (DUF825)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009509,GO:0009532,GO:0009536,GO:0009570,GO:0009575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	AAA,DUF825
g1239	4081.Solyc01g007640.2.1	0.0	4256.0	2CMQD@1|root,2QRDV@2759|Eukaryota,37QIN@33090|Viridiplantae,3GEA1@35493|Streptophyta,44PKI@71274|asterids	35493|Streptophyta	C	Plant protein of unknown function (DUF825)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009509,GO:0009532,GO:0009536,GO:0009570,GO:0009575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	AAA,DUF825
g1380	102107.XP_008224000.1	1.44e-234	710.0	28JZI@1|root,2QSDY@2759|Eukaryota,37J4T@33090|Viridiplantae,3GC2Z@35493|Streptophyta,4JREA@91835|fabids	35493|Streptophyta	U	Involved in protein precursor import into chloroplasts. May be part of an intermediate translocation complex acting as a protein-conducting channel at the inner envelope	ycf1	GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006810,GO:0008104,GO:0008150,GO:0008565,GO:0009507,GO:0009526,GO:0009528,GO:0009536,GO:0009706,GO:0009941,GO:0015031,GO:0015833,GO:0016020,GO:0019866,GO:0031090,GO:0031967,GO:0031969,GO:0031975,GO:0033036,GO:0042170,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705	-	-	-	-	-	-	-	-	-	-	Ycf1
g1461	4081.Solyc01g007320.2.1	8.14e-304	838.0	COG0055@1|root,COG0355@1|root,KOG1350@2759|Eukaryota,KOG1758@2759|Eukaryota,37K5M@33090|Viridiplantae,3GCIP@35493|Streptophyta	35493|Streptophyta	C	ATP synthase subunit beta	atpB	-	3.6.3.14	ko:K02112	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	3.A.2.1	-	-	ATP-synt_DE_N,ATP-synt_ab,ATP-synt_ab_N
g1533	4081.Solyc01g007640.2.1	0.0	4001.0	2CMQD@1|root,2QRDV@2759|Eukaryota,37QIN@33090|Viridiplantae,3GEA1@35493|Streptophyta,44PKI@71274|asterids	35493|Streptophyta	C	Plant protein of unknown function (DUF825)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009509,GO:0009532,GO:0009536,GO:0009570,GO:0009575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	AAA,DUF825
g1555	4572.TRIUR3_00079-P1	0.0	2257.0	COG0086@1|root,2QPYA@2759|Eukaryota,37HSD@33090|Viridiplantae,3GDVE@35493|Streptophyta,3KV60@4447|Liliopsida,3I5C8@38820|Poales	35493|Streptophyta	K	DNA-directed RNA polymerase	rpoC2	GO:0000428,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0030880,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0061695,GO:1902494,GO:1990234	2.7.7.6	ko:K03046	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5
g1564	4081.Solyc01g007640.2.1	0.0	4256.0	2CMQD@1|root,2QRDV@2759|Eukaryota,37QIN@33090|Viridiplantae,3GEA1@35493|Streptophyta,44PKI@71274|asterids	35493|Streptophyta	C	Plant protein of unknown function (DUF825)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009509,GO:0009532,GO:0009536,GO:0009570,GO:0009575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	AAA,DUF825
g1656	4113.PGSC0003DMT400036532	3.09e-243	668.0	COG0202@1|root,2QRS7@2759|Eukaryota,37QVG@33090|Viridiplantae,3GHDB@35493|Streptophyta,44N87@71274|asterids	35493|Streptophyta	K	Bacterial RNA polymerase, alpha chain C terminal domain	rpoA	GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006354,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009295,GO:0009507,GO:0009532,GO:0009534,GO:0009536,GO:0009570,GO:0009579,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0031976,GO:0031984,GO:0032774,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901576	2.7.7.6	ko:K03040	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_A_CTD,RNA_pol_A_bac,RNA_pol_L
g1665	3880.AES87799	1.29e-122	349.0	COG1290@1|root,KOG4663@2759|Eukaryota,37NKU@33090|Viridiplantae,3G85T@35493|Streptophyta,4JV2U@91835|fabids	35493|Streptophyta	C	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions	petD	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0016020,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035	-	ko:K02637	ko00195,ko01100,map00195,map01100	M00162	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	Cytochrom_B_C
g1675	4081.Solyc01g007640.2.1	0.0	4256.0	2CMQD@1|root,2QRDV@2759|Eukaryota,37QIN@33090|Viridiplantae,3GEA1@35493|Streptophyta,44PKI@71274|asterids	35493|Streptophyta	C	Plant protein of unknown function (DUF825)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009509,GO:0009532,GO:0009536,GO:0009570,GO:0009575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	AAA,DUF825
g1696	4081.Solyc01g007640.2.1	0.0	3209.0	2CMQD@1|root,2QRDV@2759|Eukaryota,37QIN@33090|Viridiplantae,3GEA1@35493|Streptophyta,44PKI@71274|asterids	35493|Streptophyta	C	Plant protein of unknown function (DUF825)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009509,GO:0009532,GO:0009536,GO:0009570,GO:0009575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	AAA,DUF825
g1737	4081.Solyc01g007640.2.1	0.0	4256.0	2CMQD@1|root,2QRDV@2759|Eukaryota,37QIN@33090|Viridiplantae,3GEA1@35493|Streptophyta,44PKI@71274|asterids	35493|Streptophyta	C	Plant protein of unknown function (DUF825)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009509,GO:0009532,GO:0009536,GO:0009570,GO:0009575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	AAA,DUF825
g1745	4081.Solyc01g007640.2.1	0.0	4256.0	2CMQD@1|root,2QRDV@2759|Eukaryota,37QIN@33090|Viridiplantae,3GEA1@35493|Streptophyta,44PKI@71274|asterids	35493|Streptophyta	C	Plant protein of unknown function (DUF825)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009509,GO:0009532,GO:0009536,GO:0009570,GO:0009575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464	-	-	-	-	-	-	-	-	-	-	AAA,DUF825
g1798	3702.ATCG01100.1	3.42e-214	596.0	COG1005@1|root,KOG4770@2759|Eukaryota,37RCJ@33090|Viridiplantae,3GDCI@35493|Streptophyta	35493|Streptophyta	C	NDH shuttles electrons from NAD(P)H plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient	ndhA	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0006091,GO:0008150,GO:0008152,GO:0009507,GO:0009536,GO:0009987,GO:0015979,GO:0015980,GO:0016020,GO:0016491,GO:0016651,GO:0019866,GO:0030964,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045271,GO:0045333,GO:0055114,GO:0070469,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1902494,GO:1990204	1.6.5.3	ko:K05572	ko00190,ko01100,map00190,map01100	M00145	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	-	-	-	NADHdh
g1818	3702.ATCG01100.1	3.42e-214	596.0	COG1005@1|root,KOG4770@2759|Eukaryota,37RCJ@33090|Viridiplantae,3GDCI@35493|Streptophyta	35493|Streptophyta	C	NDH shuttles electrons from NAD(P)H plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient	ndhA	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005747,GO:0006091,GO:0008150,GO:0008152,GO:0009507,GO:0009536,GO:0009987,GO:0015979,GO:0015980,GO:0016020,GO:0016491,GO:0016651,GO:0019866,GO:0030964,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045271,GO:0045333,GO:0055114,GO:0070469,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1902494,GO:1990204	1.6.5.3	ko:K05572	ko00190,ko01100,map00190,map01100	M00145	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	-	-	-	NADHdh
