## Mon May 19 19:48:09 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kp_i3d7x --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kp_i3d7x --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_kp_i3d7x/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
M82_01g008910.2.1	4081.Solyc01g008910.2.1	0.0	941.0	28K9J@1|root,2QPNC@2759|Eukaryota,37MW6@33090|Viridiplantae,3G7CB@35493|Streptophyta,44SCW@71274|asterids	35493|Streptophyta	K	GRAS domain family	-	GO:0001101,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0008150,GO:0009719,GO:0009725,GO:0009739,GO:0009889,GO:0010033,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0033993,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1901700,GO:1903506,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	GRAS
M82_02g081050.3.1	4081.Solyc02g081050.2.1	0.0	1062.0	COG0515@1|root,2QPX8@2759|Eukaryota,37K4G@33090|Viridiplantae,3GBR6@35493|Streptophyta,44ERC@71274|asterids	35493|Streptophyta	T	Protein kinase domain	-	GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004675,GO:0004888,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019199,GO:0019538,GO:0019899,GO:0019900,GO:0019901,GO:0023052,GO:0036211,GO:0038023,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0060089,GO:0065007,GO:0071704,GO:0071944,GO:0140096,GO:1901564	-	ko:K13429	ko04626,map04626	-	-	-	ko00000,ko00001,ko01001	-	-	-	LysM,Pkinase,Pkinase_Tyr
M82_02g085705.1.1	4113.PGSC0003DMT400006372	2.81e-13	73.2	28J6G@1|root,2QRWH@2759|Eukaryota,37KP4@33090|Viridiplantae,3G7JP@35493|Streptophyta,44RTV@71274|asterids	35493|Streptophyta	S	Calmodulin-binding protein	-	-	-	-	-	-	-	-	-	-	-	-	-
M82_03g006630.3.1	4081.Solyc03g006630.2.1	0.0	973.0	COG1597@1|root,KOG1116@2759|Eukaryota,37RSD@33090|Viridiplantae,3G745@35493|Streptophyta,44FW5@71274|asterids	35493|Streptophyta	IT	Diacylglycerol kinase catalytic domain (presumed)	-	GO:0000166,GO:0000287,GO:0000325,GO:0001101,GO:0001558,GO:0001727,GO:0001932,GO:0001934,GO:0001959,GO:0003376,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004888,GO:0004930,GO:0005488,GO:0005515,GO:0005516,GO:0005524,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005773,GO:0005774,GO:0005829,GO:0005886,GO:0006066,GO:0006355,GO:0006457,GO:0006629,GO:0006643,GO:0006665,GO:0006670,GO:0006793,GO:0006796,GO:0006807,GO:0006937,GO:0006940,GO:0007154,GO:0007165,GO:0007186,GO:0007275,GO:0007346,GO:0008144,GO:0008150,GO:0008152,GO:0008284,GO:0008289,GO:0008481,GO:0008610,GO:0009056,GO:0009058,GO:0009705,GO:0009719,GO:0009725,GO:0009737,GO:0009791,GO:0009845,GO:0009889,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0010799,GO:0010800,GO:0010803,GO:0010941,GO:0016020,GO:0016042,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017050,GO:0017076,GO:0019219,GO:0019220,GO:0019222,GO:0019722,GO:0019751,GO:0019899,GO:0019902,GO:0019903,GO:0019932,GO:0022603,GO:0023051,GO:0023052,GO:0023056,GO:0030148,GO:0030149,GO:0030258,GO:0030307,GO:0030334,GO:0030335,GO:0030554,GO:0031090,GO:0031323,GO:0031325,GO:0031326,GO:0031396,GO:0031398,GO:0031399,GO:0031401,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032553,GO:0032555,GO:0032559,GO:0032870,GO:0032879,GO:0033993,GO:0034311,GO:0034312,GO:0034641,GO:0035556,GO:0035639,GO:0036094,GO:0038023,GO:0038036,GO:0040008,GO:0040012,GO:0040017,GO:0042127,GO:0042221,GO:0042325,GO:0042327,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044057,GO:0044093,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044271,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045125,GO:0045765,GO:0045766,GO:0045787,GO:0045927,GO:0045931,GO:0045933,GO:0045937,GO:0045987,GO:0046165,GO:0046173,GO:0046466,GO:0046467,GO:0046512,GO:0046519,GO:0046520,GO:0046521,GO:0046834,GO:0046872,GO:0048145,GO:0048146,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048856,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051090,GO:0051091,GO:0051092,GO:0051094,GO:0051128,GO:0051171,GO:0051173,GO:0051174,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051252,GO:0051270,GO:0051272,GO:0051716,GO:0051721,GO:0051726,GO:0060089,GO:0060255,GO:0060548,GO:0060759,GO:0065007,GO:0065009,GO:0070300,GO:0070887,GO:0071215,GO:0071229,GO:0071310,GO:0071396,GO:0071495,GO:0071704,GO:0071944,GO:0080090,GO:0090257,GO:0090351,GO:0090520,GO:0097159,GO:0097164,GO:0097305,GO:0097306,GO:0097367,GO:0098588,GO:0098805,GO:1901222,GO:1901224,GO:1901265,GO:1901342,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901617,GO:1901700,GO:1901701,GO:1902531,GO:1902533,GO:1903320,GO:1903322,GO:1903506,GO:1904018,GO:2000026,GO:2000112,GO:2000145,GO:2000147,GO:2001141	2.7.1.91	ko:K04718	ko00600,ko01100,ko04020,ko04071,ko04072,ko04370,ko04371,ko04666,ko05152,map00600,map01100,map04020,map04071,map04072,map04370,map04371,map04666,map05152	M00100	R01926,R02976	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	DAGK_cat
M82_03g026370.1.1	4081.Solyc03g026370.1.1	4.98e-74	221.0	2CJMB@1|root,2S3TX@2759|Eukaryota,37W4X@33090|Viridiplantae,3GKHK@35493|Streptophyta,44KZJ@71274|asterids	35493|Streptophyta	S	LysM domain	-	-	-	-	-	-	-	-	-	-	-	-	LysM
M82_04g016160.3.1	4081.Solyc04g016180.2.1	0.0	1028.0	KOG4698@1|root,KOG4698@2759|Eukaryota,37R1Y@33090|Viridiplantae,3G8G3@35493|Streptophyta,44PZQ@71274|asterids	35493|Streptophyta	S	Protein of unknown function (DUF563)	-	-	2.4.1.255	ko:K18134	ko00514,map00514	-	R09304,R09676	RC00005,RC00059	ko00000,ko00001,ko01000,ko01003	-	GT41	-	DUF563
M82_04g082040.3.1	4081.Solyc04g082040.2.1	0.0	1674.0	COG0668@1|root,KOG4629@2759|Eukaryota,37M9C@33090|Viridiplantae,3GE1I@35493|Streptophyta,44DKM@71274|asterids	35493|Streptophyta	M	Mechanosensitive ion channel protein 6-like	-	-	-	ko:K22048	-	-	-	-	ko00000,ko02000	1.A.23.4	-	-	MS_channel
M82_06g051840.1.1	4081.Solyc06g051840.1.1	3.98e-241	663.0	290FS@1|root,2R7AV@2759|Eukaryota,37V58@33090|Viridiplantae,3G7PM@35493|Streptophyta,44DTH@71274|asterids	35493|Streptophyta	K	DNA-binding domain in plant proteins such as APETALA2 and EREBPs	-	-	-	-	-	-	-	-	-	-	-	-	AP2
M82_06g054290.2.1	4081.Solyc06g054290.1.1	2.69e-110	321.0	COG0657@1|root,KOG1515@2759|Eukaryota,37R02@33090|Viridiplantae,3G8PY@35493|Streptophyta,44Q9G@71274|asterids	35493|Streptophyta	V	2-hydroxyisoflavanone dehydratase-like	-	GO:0003674,GO:0003824,GO:0006725,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009698,GO:0009699,GO:0009717,GO:0009987,GO:0016787,GO:0016788,GO:0016829,GO:0016835,GO:0016836,GO:0018130,GO:0019438,GO:0019748,GO:0033987,GO:0044237,GO:0044249,GO:0044550,GO:0046287,GO:0046483,GO:0052689,GO:0071704,GO:1901360,GO:1901362,GO:1901576	4.2.1.105	ko:K13258	ko00943,ko01110,map00943,map01110	-	R06793,R07317,R07723	RC01632	ko00000,ko00001,ko01000	-	-	-	Abhydrolase_3
M82_08g079160.3.1	4081.Solyc08g079160.2.1	0.0	996.0	COG5206@1|root,KOG1348@2759|Eukaryota,37PUU@33090|Viridiplantae,3GFTM@35493|Streptophyta,44I1A@71274|asterids	35493|Streptophyta	O	Peptidase C13 family	-	GO:0000322,GO:0000325,GO:0000326,GO:0003674,GO:0003824,GO:0004175,GO:0004197,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0006508,GO:0006624,GO:0006807,GO:0006996,GO:0007033,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0009056,GO:0009057,GO:0009987,GO:0010467,GO:0016043,GO:0016485,GO:0016787,GO:0019538,GO:0030163,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0051603,GO:0051604,GO:0070011,GO:0071704,GO:0071840,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1990019	3.4.22.34	ko:K01369	ko04142,ko04612,map04142,map04612	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_C13
