## Sat May 10 03:23:42 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_qrf7rhjo --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_qrf7rhjo --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_qrf7rhjo/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g4049	4113.PGSC0003DMT400007277	7.92e-127	368.0	28NZ7@1|root,2QVJS@2759|Eukaryota,37PFE@33090|Viridiplantae,3GD9W@35493|Streptophyta,44RX6@71274|asterids	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g4050	4113.PGSC0003DMT400007277	4.24e-140	402.0	28NZ7@1|root,2QVJS@2759|Eukaryota,37PFE@33090|Viridiplantae,3GD9W@35493|Streptophyta,44RX6@71274|asterids	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g5137	4113.PGSC0003DMT400004477	4.07e-304	835.0	KOG4197@1|root,KOG4197@2759|Eukaryota,37PRT@33090|Viridiplantae,3GDGN@35493|Streptophyta,44PVX@71274|asterids	35493|Streptophyta	S	Pentatricopeptide repeat-containing protein	-	GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:1901360,GO:1901363	-	-	-	-	-	-	-	-	-	-	PPR,PPR_3
g5459	4081.Solyc01g088170.2.1	1.6e-203	605.0	COG4631@1|root,KOG0430@2759|Eukaryota,37N1E@33090|Viridiplantae,3GFV1@35493|Streptophyta,44T0V@71274|asterids	35493|Streptophyta	F	aldehyde oxidase	AAO3	GO:0000166,GO:0003674,GO:0003824,GO:0004029,GO:0004031,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006066,GO:0006082,GO:0006629,GO:0006714,GO:0006720,GO:0006721,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009687,GO:0009688,GO:0009850,GO:0009851,GO:0009987,GO:0010293,GO:0010817,GO:0016053,GO:0016106,GO:0016114,GO:0016143,GO:0016491,GO:0016620,GO:0016623,GO:0016903,GO:0018479,GO:0018488,GO:0019748,GO:0019752,GO:0019757,GO:0019760,GO:0019899,GO:0031625,GO:0032787,GO:0036094,GO:0042445,GO:0042446,GO:0043167,GO:0043168,GO:0043288,GO:0043289,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044389,GO:0044424,GO:0044444,GO:0044464,GO:0046165,GO:0046394,GO:0048037,GO:0050302,GO:0050660,GO:0050662,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:0072330,GO:0097159,GO:1901135,GO:1901265,GO:1901363,GO:1901564,GO:1901576,GO:1901615,GO:1901617,GO:1901657,GO:1902644,GO:1902645	1.2.1.28,1.2.3.14,1.2.3.7	ko:K09842,ko:K11817,ko:K22417	ko00380,ko00906,ko01100,ko01110,map00380,map00906,map01100,map01110	M00372	R02681,R06957	RC00080,RC00218	ko00000,ko00001,ko00002,ko01000	-	-	-	Ald_Xan_dh_C,Ald_Xan_dh_C2,CO_deh_flav_C,FAD_binding_5,Fer2,Fer2_2
g5919	4081.Solyc11g051150.1.1	2.72e-60	198.0	COG2801@1|root,KOG0017@2759|Eukaryota,37THH@33090|Viridiplantae,3GG2K@35493|Streptophyta,44UC5@71274|asterids	35493|Streptophyta	L	Mitochondrial protein	-	-	-	-	-	-	-	-	-	-	-	-	RVT_2,Retrotran_gag_2,Retrotran_gag_3,Retrotrans_gag,gag_pre-integrs,rve,zf-CCHC
g7837	4081.Solyc01g007880.2.1	0.0	1166.0	COG4642@1|root,KOG0231@2759|Eukaryota,37I0Q@33090|Viridiplantae,3G90Z@35493|Streptophyta,44HPW@71274|asterids	35493|Streptophyta	S	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.	-	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006996,GO:0008150,GO:0009507,GO:0009526,GO:0009527,GO:0009532,GO:0009536,GO:0009570,GO:0009657,GO:0009658,GO:0009707,GO:0009941,GO:0009987,GO:0010020,GO:0016020,GO:0016043,GO:0019867,GO:0019898,GO:0031090,GO:0031312,GO:0031967,GO:0031968,GO:0031969,GO:0031975,GO:0035452,GO:0042170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043572,GO:0043621,GO:0044422,GO:0044424,GO:0044425,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0048285,GO:0071840,GO:0098588,GO:0098805	-	-	-	-	-	-	-	-	-	-	MORN
g10082	4113.PGSC0003DMT400073248	2.11e-34	121.0	2CZXH@1|root,2SC11@2759|Eukaryota,37XGI@33090|Viridiplantae,3GM1D@35493|Streptophyta,44UKF@71274|asterids	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g10779	4113.PGSC0003DMT400057584	0.0	893.0	COG1597@1|root,KOG1116@2759|Eukaryota,37RSD@33090|Viridiplantae,3G745@35493|Streptophyta,44QK5@71274|asterids	35493|Streptophyta	IT	Sphingosine kinase	-	GO:0000166,GO:0000287,GO:0000325,GO:0001101,GO:0001558,GO:0001727,GO:0001932,GO:0001934,GO:0001959,GO:0003376,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004888,GO:0004930,GO:0005488,GO:0005515,GO:0005516,GO:0005524,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005773,GO:0005774,GO:0005829,GO:0005886,GO:0006066,GO:0006355,GO:0006457,GO:0006629,GO:0006643,GO:0006665,GO:0006670,GO:0006793,GO:0006796,GO:0006807,GO:0006937,GO:0006940,GO:0007154,GO:0007165,GO:0007186,GO:0007275,GO:0007346,GO:0008144,GO:0008150,GO:0008152,GO:0008284,GO:0008289,GO:0008481,GO:0008610,GO:0009056,GO:0009058,GO:0009705,GO:0009719,GO:0009725,GO:0009737,GO:0009791,GO:0009845,GO:0009889,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0010799,GO:0010800,GO:0010803,GO:0010941,GO:0016020,GO:0016042,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017050,GO:0017076,GO:0019219,GO:0019220,GO:0019222,GO:0019722,GO:0019751,GO:0019899,GO:0019902,GO:0019903,GO:0019932,GO:0022603,GO:0023051,GO:0023052,GO:0023056,GO:0030148,GO:0030149,GO:0030258,GO:0030307,GO:0030334,GO:0030335,GO:0030554,GO:0031090,GO:0031323,GO:0031325,GO:0031326,GO:0031396,GO:0031398,GO:0031399,GO:0031401,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032553,GO:0032555,GO:0032559,GO:0032870,GO:0032879,GO:0033993,GO:0034311,GO:0034312,GO:0034641,GO:0035556,GO:0035639,GO:0036094,GO:0038023,GO:0038036,GO:0040008,GO:0040012,GO:0040017,GO:0042127,GO:0042221,GO:0042325,GO:0042327,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044057,GO:0044093,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044271,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045125,GO:0045765,GO:0045766,GO:0045787,GO:0045927,GO:0045931,GO:0045933,GO:0045937,GO:0045987,GO:0046165,GO:0046173,GO:0046466,GO:0046467,GO:0046512,GO:0046519,GO:0046520,GO:0046521,GO:0046834,GO:0046872,GO:0048145,GO:0048146,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048856,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051090,GO:0051091,GO:0051092,GO:0051094,GO:0051128,GO:0051171,GO:0051173,GO:0051174,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051252,GO:0051270,GO:0051272,GO:0051716,GO:0051721,GO:0051726,GO:0060089,GO:0060255,GO:0060548,GO:0060759,GO:0065007,GO:0065009,GO:0070300,GO:0070887,GO:0071215,GO:0071229,GO:0071310,GO:0071396,GO:0071495,GO:0071704,GO:0071944,GO:0080090,GO:0090257,GO:0090351,GO:0090520,GO:0097159,GO:0097164,GO:0097305,GO:0097306,GO:0097367,GO:0098588,GO:0098805,GO:1901222,GO:1901224,GO:1901265,GO:1901342,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901617,GO:1901700,GO:1901701,GO:1902531,GO:1902533,GO:1903320,GO:1903322,GO:1903506,GO:1904018,GO:2000026,GO:2000112,GO:2000145,GO:2000147,GO:2001141	2.7.1.91	ko:K04718	ko00600,ko01100,ko04020,ko04071,ko04072,ko04370,ko04371,ko04666,ko05152,map00600,map01100,map04020,map04071,map04072,map04370,map04371,map04666,map05152	M00100	R01926,R02976	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	DAGK_cat
g12645	4081.Solyc03g006420.2.1	0.0	1509.0	COG1474@1|root,KOG1514@2759|Eukaryota,37NQF@33090|Viridiplantae,3G74C@35493|Streptophyta,44CMV@71274|asterids	35493|Streptophyta	L	origin recognition complex	-	GO:0000003,GO:0000228,GO:0000808,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005664,GO:0005694,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006277,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008283,GO:0009058,GO:0009059,GO:0009566,GO:0009567,GO:0009889,GO:0009987,GO:0010385,GO:0010468,GO:0010556,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019953,GO:0022414,GO:0031323,GO:0031326,GO:0031974,GO:0031981,GO:0032991,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0044703,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0051704,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0071897,GO:0080090,GO:0090304,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2001141	-	ko:K02603	ko04110,ko04111,ko04113,map04110,map04111,map04113	M00284	-	-	ko00000,ko00001,ko00002,ko03032,ko03036	-	-	-	AAA,BAH,PHD
g15995	4081.Solyc03g111880.2.1	1.81e-285	786.0	COG2124@1|root,KOG0156@2759|Eukaryota,37MB9@33090|Viridiplantae,3G8V5@35493|Streptophyta,44GRI@71274|asterids	35493|Streptophyta	Q	Belongs to the cytochrome P450 family	-	-	1.14.14.1	ko:K07408,ko:K07418	ko00140,ko00380,ko00590,ko00591,ko00830,ko00980,ko01100,ko04212,ko04726,ko04750,ko04913,ko05204,map00140,map00380,map00590,map00591,map00830,map00980,map01100,map04212,map04726,map04750,map04913,map05204	-	R02354,R02355,R03089,R03408,R03629,R07000,R07001,R07021,R07022,R07042,R07043,R07044,R07045,R07046,R07048,R07050,R07051,R07052,R07055,R07056,R07079,R07080,R07081,R07085,R07087,R07098,R07099,R08390,R08392,R09418,R09423,R09442	RC00046,RC00661,RC00704,RC00723,RC00724,RC01184,RC01444,RC01445,RC01710,RC01711,RC01723,RC01725,RC01727,RC01732,RC01733,RC02531	ko00000,ko00001,ko00199,ko01000	-	-	-	p450
