## Sat May 10 03:03:15 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_7cgge12k --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_7cgge12k --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_7cgge12k/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g320	4081.Solyc01g007500.2.1	0.0	1063.0	28JG1@1|root,2QRV6@2759|Eukaryota,37HEX@33090|Viridiplantae,3GE8P@35493|Streptophyta,44Q8N@71274|asterids	35493|Streptophyta	C	One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation	psbB	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0008150,GO:0008152,GO:0009507,GO:0009532,GO:0009534,GO:0009535,GO:0009536,GO:0009570,GO:0009579,GO:0009987,GO:0010207,GO:0010287,GO:0015979,GO:0016020,GO:0016043,GO:0019684,GO:0022607,GO:0031976,GO:0031984,GO:0034357,GO:0034622,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044237,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035,GO:0065003,GO:0071840	-	ko:K02704	ko00195,ko01100,map00195,map01100	M00161	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	PSII
g477	4098.XP_009605154.1	0.0	2326.0	COG1112@1|root,KOG1801@2759|Eukaryota,37RMF@33090|Viridiplantae,3G7ST@35493|Streptophyta,44N2P@71274|asterids	35493|Streptophyta	L	superfamily. Protein	-	-	-	ko:K10706	-	-	-	-	ko00000,ko01000,ko03021	-	-	-	AAA_11,AAA_12,AAA_19,UvrD-helicase
g570	4155.Migut.J01360.1.p	0.0	1518.0	28JJ8@1|root,2QRYE@2759|Eukaryota,37QY5@33090|Viridiplantae,3GH5Y@35493|Streptophyta,44Q5F@71274|asterids	35493|Streptophyta	C	Photosystem I psaA/psaB protein	psaB	GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016168,GO:0043167,GO:0043168,GO:0044424,GO:0044464,GO:0046906,GO:0048037,GO:0097159,GO:1901363	-	ko:K02690	ko00195,ko01100,map00195,map01100	M00163	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	PsaA_PsaB
g578	4081.Solyc09g009870.2.1	5.69e-45	157.0	28PT6@1|root,2QWFR@2759|Eukaryota,37SK3@33090|Viridiplantae,3GCSM@35493|Streptophyta,44GSD@71274|asterids	35493|Streptophyta	S	F-box domain	-	-	-	-	-	-	-	-	-	-	-	-	F-box,F-box-like
g579	4081.Solyc09g009870.2.1	1.35e-66	211.0	28PT6@1|root,2QWFR@2759|Eukaryota,37SK3@33090|Viridiplantae,3GCSM@35493|Streptophyta,44GSD@71274|asterids	35493|Streptophyta	S	F-box domain	-	-	-	-	-	-	-	-	-	-	-	-	F-box,F-box-like
g623	4081.Solyc00g049210.1.1	0.0	1188.0	COG1138@1|root,2QQ5D@2759|Eukaryota,37KAN@33090|Viridiplantae,3G7VB@35493|Streptophyta	35493|Streptophyta	O	cytochrome c	ccmFN	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0008150,GO:0009987,GO:0016020,GO:0016043,GO:0017004,GO:0019866,GO:0022607,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0034622,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0065003,GO:0071840	-	-	-	-	-	-	-	-	-	-	Cytochrom_C_asm
g655	3880.AES58519	4.96e-104	316.0	COG1008@1|root,KOG4845@2759|Eukaryota,37KP8@33090|Viridiplantae,3GEAS@35493|Streptophyta,4JUKV@91835|fabids	35493|Streptophyta	C	Proton-conducting membrane transporter	nad4	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0016020,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464	1.6.5.3	ko:K03881	ko00190,ko01100,ko04714,ko04723,ko05012,map00190,map01100,map04714,map04723,map05012	M00142	R11945	RC00061	ko00000,ko00001,ko00002,ko01000,ko03029	3.D.1.6	-	-	Proton_antipo_M
g674	3880.AES58519	4.96e-104	316.0	COG1008@1|root,KOG4845@2759|Eukaryota,37KP8@33090|Viridiplantae,3GEAS@35493|Streptophyta,4JUKV@91835|fabids	35493|Streptophyta	C	Proton-conducting membrane transporter	nad4	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0016020,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464	1.6.5.3	ko:K03881	ko00190,ko01100,ko04714,ko04723,ko05012,map00190,map01100,map04714,map04723,map05012	M00142	R11945	RC00061	ko00000,ko00001,ko00002,ko01000,ko03029	3.D.1.6	-	-	Proton_antipo_M
g794	4081.Solyc03g007050.2.1	1.08e-313	898.0	COG4886@1|root,2QTEP@2759|Eukaryota,37JXG@33090|Viridiplantae,3G8ST@35493|Streptophyta,44BMF@71274|asterids	35493|Streptophyta	T	Belongs to the protein kinase superfamily. Ser Thr protein kinase family	-	GO:0000003,GO:0003006,GO:0003674,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0007275,GO:0008150,GO:0009553,GO:0009653,GO:0009791,GO:0009888,GO:0009908,GO:0010016,GO:0010103,GO:0010374,GO:0016020,GO:0022414,GO:0032501,GO:0032502,GO:0033612,GO:0035670,GO:0048229,GO:0048367,GO:0048437,GO:0048438,GO:0048440,GO:0048467,GO:0048481,GO:0048608,GO:0048731,GO:0048827,GO:0048856,GO:0061458,GO:0090558,GO:0090567,GO:0090626,GO:0090698,GO:0099402	2.7.11.1	ko:K20718	ko04016,map04016	-	-	-	ko00000,ko00001,ko01000,ko01001	-	-	-	LRRNT_2,LRR_1,LRR_4,LRR_6,LRR_8,Pkinase
g1070	4155.Migut.J01360.1.p	0.0	1518.0	28JJ8@1|root,2QRYE@2759|Eukaryota,37QY5@33090|Viridiplantae,3GH5Y@35493|Streptophyta,44Q5F@71274|asterids	35493|Streptophyta	C	Photosystem I psaA/psaB protein	psaB	GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016168,GO:0043167,GO:0043168,GO:0044424,GO:0044464,GO:0046906,GO:0048037,GO:0097159,GO:1901363	-	ko:K02690	ko00195,ko01100,map00195,map01100	M00163	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	PsaA_PsaB
