## Mon May 19 19:40:09 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_nu07q1ab --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_nu07q1ab --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_nu07q1ab/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
M82_01g005350.3.1	4081.Solyc01g005350.2.1	2.34e-239	657.0	28IIJ@1|root,2QUIN@2759|Eukaryota,37QVS@33090|Viridiplantae,3GBG7@35493|Streptophyta,44MXV@71274|asterids	35493|Streptophyta	S	Conserved gene of	-	-	2.1.1.276	ko:K18886	-	-	-	-	ko00000,ko01000	-	-	-	Methyltransf_7
M82_01g008650.3.1	4081.Solyc01g008650.2.1	0.0	1008.0	COG2124@1|root,KOG0156@2759|Eukaryota,37QA7@33090|Viridiplantae,3GDM1@35493|Streptophyta,44P4N@71274|asterids	35493|Streptophyta	Q	Cytochrome p450	-	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0044550,GO:0055114	1.14.13.121,1.14.14.1,1.14.14.19,1.14.14.32	ko:K00512,ko:K07418,ko:K15472	ko00140,ko00590,ko00591,ko00909,ko01100,ko01110,ko04212,ko04726,ko04750,ko04913,ko04917,ko04927,ko04934,map00140,map00590,map00591,map00909,map01100,map01110,map04212,map04726,map04750,map04913,map04917,map04927,map04934	M00109,M00110	R02211,R03783,R04852,R04853,R07042,R07043,R07044,R07045,R07046,R07048,R07050,R07051,R07052,R07055,R07056,R08517,R08518,R09576,R09577,R10073	RC00607,RC00660,RC00923,RC01184,RC01222,RC01710,RC01711,RC01723,RC01725,RC01963,RC02077,RC03044	ko00000,ko00001,ko00002,ko00199,ko01000	-	-	-	p450
M82_01g009370.2.1	4081.Solyc01g009370.1.1	0.0	1029.0	COG2124@1|root,KOG0156@2759|Eukaryota,37N5Y@33090|Viridiplantae,3GGFD@35493|Streptophyta,44QYR@71274|asterids	35493|Streptophyta	Q	Cytochrome p450	-	GO:0003674,GO:0003824,GO:0004497,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005783,GO:0005886,GO:0006725,GO:0008150,GO:0008152,GO:0009058,GO:0009698,GO:0009699,GO:0009804,GO:0009805,GO:0009808,GO:0009809,GO:0009812,GO:0009813,GO:0009987,GO:0012505,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0018130,GO:0019438,GO:0019748,GO:0042802,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044249,GO:0044424,GO:0044444,GO:0044464,GO:0044550,GO:0046409,GO:0046483,GO:0055114,GO:0071704,GO:0071944,GO:1901360,GO:1901362,GO:1901576	1.14.13.36	ko:K09754	ko00940,ko00941,ko00945,ko01100,ko01110,map00940,map00941,map00945,map01100,map01110	M00039	R04342,R06582	RC00046	ko00000,ko00001,ko00002,ko00199,ko01000	-	-	-	p450
M82_01g009680.3-c2.1	4081.Solyc01g009680.2.1	0.0	924.0	28IFU@1|root,2QQSP@2759|Eukaryota,37IPE@33090|Viridiplantae,3GE0G@35493|Streptophyta,44Q4G@71274|asterids	35493|Streptophyta	E	Plant lipoxygenase may be involved in a number of diverse aspects of plant physiology including growth and development, pest resistance, and senescence or responses to wounding	-	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006629,GO:0006631,GO:0006690,GO:0008150,GO:0008152,GO:0009507,GO:0009532,GO:0009534,GO:0009536,GO:0009570,GO:0009579,GO:0009987,GO:0010597,GO:0016165,GO:0016491,GO:0016701,GO:0016702,GO:0019372,GO:0019752,GO:0031976,GO:0031984,GO:0032787,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044255,GO:0044281,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0051213,GO:0055114,GO:0071704,GO:1901568	1.13.11.12	ko:K00454	ko00591,ko00592,ko01100,ko01110,map00591,map00592,map01100,map01110	M00113	R03626,R07864,R07869	RC00561	ko00000,ko00001,ko00002,ko01000	-	-	-	Lipoxygenase,PLAT
M82_01g014560.3.1	4081.Solyc01g014560.2.1	1.11e-258	711.0	COG0515@1|root,2QQEW@2759|Eukaryota,37HW6@33090|Viridiplantae,3G7JQ@35493|Streptophyta,44SMP@71274|asterids	35493|Streptophyta	T	G-type lectin S-receptor-like serine threonine-protein kinase	-	-	-	-	-	-	-	-	-	-	-	-	B_lectin,PAN_2,Pkinase,Pkinase_Tyr,S_locus_glycop
M82_08g066320.3.1	4081.Solyc08g066320.2.1	0.0	1006.0	COG4886@1|root,2SKIH@2759|Eukaryota,37Y75@33090|Viridiplantae,3GP3Z@35493|Streptophyta,44FU6@71274|asterids	35493|Streptophyta	T	Protein kinase domain	-	-	-	-	-	-	-	-	-	-	-	-	LRRNT_2,LRR_8,Pkinase
M82_01g079300.3.1	4081.Solyc01g079300.2.1	0.0	1628.0	2CC3R@1|root,2QTKB@2759|Eukaryota,37JEJ@33090|Viridiplantae,3G794@35493|Streptophyta,44HG6@71274|asterids	35493|Streptophyta	S	Raffinose synthase or seed imbibition protein Sip1	STS	GO:0003674,GO:0003824,GO:0006950,GO:0006979,GO:0008150,GO:0008378,GO:0009628,GO:0016740,GO:0016757,GO:0016758,GO:0047268,GO:0050896,GO:0080167	2.4.1.67	ko:K06611	ko00052,map00052	-	R03418	RC00049,RC00059	ko00000,ko00001,ko01000	-	-	-	Raffinose_syn
M82_01g079360.3.1	4081.Solyc01g079360.2.1	1.62e-146	414.0	28PFA@1|root,2R27Y@2759|Eukaryota,37TNP@33090|Viridiplantae,3GFNI@35493|Streptophyta,44K48@71274|asterids	35493|Streptophyta	K	WRKY transcription factor	-	GO:0000003,GO:0003006,GO:0003674,GO:0003700,GO:0006355,GO:0007275,GO:0008150,GO:0009555,GO:0009790,GO:0009791,GO:0009793,GO:0009889,GO:0010154,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0022414,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0048229,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0061458,GO:0065007,GO:0080090,GO:0140110,GO:1903506,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	WRKY
M82_01g081620.3.1	4081.Solyc01g081620.2.1	0.0	1127.0	28IF1@1|root,2QQRS@2759|Eukaryota,37NSV@33090|Viridiplantae,3GFZY@35493|Streptophyta,44PNV@71274|asterids	35493|Streptophyta	S	Vacuolar protein sorting-associated protein 62	-	-	-	-	-	-	-	-	-	-	-	-	Vps62
M82_10g079870.2.1	4081.Solyc01g088160.2.1	1.57e-238	664.0	COG0277@1|root,KOG1231@2759|Eukaryota,37MFZ@33090|Viridiplantae,3G834@35493|Streptophyta,44DD6@71274|asterids	35493|Streptophyta	C	Cytokinin dehydrogenase 1, FAD and cytokinin binding	CKX9	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0009056,GO:0009308,GO:0009653,GO:0009690,GO:0009791,GO:0009823,GO:0009888,GO:0009987,GO:0010016,GO:0010103,GO:0010374,GO:0010817,GO:0016491,GO:0016645,GO:0019139,GO:0032501,GO:0032502,GO:0034754,GO:0042445,GO:0042447,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0048367,GO:0048507,GO:0048731,GO:0048856,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:0090558,GO:0090626,GO:0090698,GO:1901564	1.5.99.12	ko:K00279	ko00908,map00908	-	R05708	RC00121,RC01455	ko00000,ko00001,ko01000	-	-	-	Cytokin-bind,FAD_binding_4
