## Sat May 10 03:19:32 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kkvw72lo --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kkvw72lo --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_kkvw72lo/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g91	4113.PGSC0003DMT400019304	0.0	1433.0	KOG4658@1|root,KOG4658@2759|Eukaryota,37TCP@33090|Viridiplantae,3G9RZ@35493|Streptophyta,44SS2@71274|asterids	35493|Streptophyta	T	late blight resistance protein homolog	-	-	-	-	-	-	-	-	-	-	-	-	NB-ARC
g95	4113.PGSC0003DMT400019304	0.0	1433.0	KOG4658@1|root,KOG4658@2759|Eukaryota,37TCP@33090|Viridiplantae,3G9RZ@35493|Streptophyta,44SS2@71274|asterids	35493|Streptophyta	T	late blight resistance protein homolog	-	-	-	-	-	-	-	-	-	-	-	-	NB-ARC
g560	4113.PGSC0003DMT400004392	3.92e-104	317.0	KOG0724@1|root,KOG0724@2759|Eukaryota,37HPS@33090|Viridiplantae,3GF0Q@35493|Streptophyta,44QTK@71274|asterids	35493|Streptophyta	K	I-box binding factor	-	-	-	-	-	-	-	-	-	-	-	-	Myb_DNA-binding
g2933	4006.Lus10026546	0.0	1368.0	COG0515@1|root,KOG1187@2759|Eukaryota,38986@33090|Viridiplantae,3GY6M@35493|Streptophyta	35493|Streptophyta	T	Glycosyl transferase family 8	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_8,Pkinase_Tyr
g2936	4113.PGSC0003DMT400038009	5.23e-163	471.0	2CE1Q@1|root,2QVM9@2759|Eukaryota,37SUU@33090|Viridiplantae,3GFI0@35493|Streptophyta,44KB0@71274|asterids	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LIN52
g2941	4081.Solyc01g112100.2.1	0.0	972.0	COG2072@1|root,KOG1399@2759|Eukaryota,37NK0@33090|Viridiplantae,3G85W@35493|Streptophyta,44F25@71274|asterids	35493|Streptophyta	Q	flavin-containing monooxygenase	-	GO:0001666,GO:0002218,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0003674,GO:0003824,GO:0004497,GO:0006950,GO:0006952,GO:0006955,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008219,GO:0009605,GO:0009607,GO:0009617,GO:0009620,GO:0009626,GO:0009627,GO:0009628,GO:0009814,GO:0009870,GO:0009987,GO:0010204,GO:0012501,GO:0016491,GO:0023052,GO:0031347,GO:0031349,GO:0033554,GO:0034050,GO:0036293,GO:0036294,GO:0042221,GO:0042742,GO:0043207,GO:0045087,GO:0045088,GO:0045089,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050832,GO:0050896,GO:0051704,GO:0051707,GO:0051716,GO:0055114,GO:0065007,GO:0070482,GO:0070887,GO:0071453,GO:0071456,GO:0080134,GO:0098542	1.14.13.8	ko:K00485	ko00982,ko01120,map00982,map01120	-	R08266	RC02233	ko00000,ko00001,ko01000	-	-	-	FMO-like
g3070	4081.Solyc07g039550.2.1	0.0	1975.0	COG1643@1|root,KOG0922@2759|Eukaryota,37PGP@33090|Viridiplantae,3GEAW@35493|Streptophyta,44FVB@71274|asterids	35493|Streptophyta	A	ATP-dependent RNA helicase	-	-	3.6.4.13	ko:K12818	ko03040,map03040	-	-	-	ko00000,ko00001,ko01000,ko03041	-	-	-	DEAD,HA2,Helicase_C,OB_NTP_bind,S1
g3152	4096.XP_009788269.1	0.0	1643.0	COG5059@1|root,KOG0242@2759|Eukaryota,37KHV@33090|Viridiplantae,3GC2I@35493|Streptophyta,44PS8@71274|asterids	35493|Streptophyta	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	-	GO:0003674,GO:0003774,GO:0003777,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0005871,GO:0005875,GO:0006928,GO:0007017,GO:0007018,GO:0008150,GO:0009987,GO:0015630,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0031347,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044430,GO:0044446,GO:0044464,GO:0048583,GO:0050789,GO:0065007,GO:0080134	-	ko:K11498	-	-	-	-	ko00000,ko01009,ko03036	-	-	-	Kinesin,zf-C3HC4_3
g3247	4081.Solyc01g109280.2.1	0.0	1019.0	KOG1815@1|root,KOG1815@2759|Eukaryota,37HG5@33090|Viridiplantae,3G8ZW@35493|Streptophyta,44DVM@71274|asterids	35493|Streptophyta	O	In Between Ring fingers	-	GO:0000151,GO:0000209,GO:0003674,GO:0003824,GO:0004842,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009893,GO:0009894,GO:0009896,GO:0009987,GO:0010604,GO:0016567,GO:0016740,GO:0019222,GO:0019538,GO:0019787,GO:0019899,GO:0030162,GO:0031323,GO:0031325,GO:0031329,GO:0031331,GO:0031624,GO:0032268,GO:0032270,GO:0032434,GO:0032436,GO:0032446,GO:0032991,GO:0036211,GO:0042176,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044390,GO:0044424,GO:0044464,GO:0045732,GO:0045862,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0061136,GO:0061630,GO:0061659,GO:0065007,GO:0070647,GO:0071704,GO:0080090,GO:0140096,GO:1901564,GO:1901800,GO:1902494,GO:1903050,GO:1903052,GO:1903362,GO:1903364,GO:1990234,GO:2000058,GO:2000060	2.3.2.31	ko:K11968	-	-	-	-	ko00000,ko01000,ko04121	-	-	-	IBR
g3562	4113.PGSC0003DMT400027729	2.48e-226	629.0	COG5641@1|root,KOG1601@2759|Eukaryota,37T6W@33090|Viridiplantae,3GFUQ@35493|Streptophyta,44CT2@71274|asterids	35493|Streptophyta	K	GATA transcription factor	-	GO:0000976,GO:0000977,GO:0000981,GO:0001012,GO:0001067,GO:0001085,GO:0001228,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003690,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005667,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0008134,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0030154,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032502,GO:0032774,GO:0032991,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0045944,GO:0046483,GO:0048518,GO:0048522,GO:0048869,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	CCT,GATA,tify
g3773	4113.PGSC0003DMT400061095	0.0	1925.0	KOG1981@1|root,KOG1981@2759|Eukaryota,37QY0@33090|Viridiplantae,3GCMH@35493|Streptophyta,44H2H@71274|asterids	35493|Streptophyta	T	T-complex protein 11	-	-	-	-	-	-	-	-	-	-	-	-	Tcp11
g3787	4081.Solyc01g103860.2.1	1.19e-221	636.0	28M02@1|root,2QT9D@2759|Eukaryota,37S5B@33090|Viridiplantae,3G76I@35493|Streptophyta,44C69@71274|asterids	35493|Streptophyta	S	COBRA-like protein 6	-	-	-	-	-	-	-	-	-	-	-	-	COBRA
g3796	4081.Solyc01g103690.2.1	0.0	2612.0	COG1643@1|root,KOG0920@2759|Eukaryota,37KD1@33090|Viridiplantae,3GB8G@35493|Streptophyta,44BX2@71274|asterids	35493|Streptophyta	A	ATP-dependent RNA helicase	-	GO:0003674,GO:0003676,GO:0003723,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009987,GO:0010467,GO:0016070,GO:0016282,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0032991,GO:0034641,GO:0042623,GO:0043021,GO:0043024,GO:0043170,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0046483,GO:0070035,GO:0070993,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:1901360,GO:1901363,GO:1990904	3.6.4.13	ko:K18995	-	-	-	-	ko00000,ko01000,ko03012	-	-	-	DEAD,HA2,Helicase_C,OB_NTP_bind
g3861	4081.Solyc01g103040.2.1	0.0	1224.0	KOG4593@1|root,KOG4593@2759|Eukaryota,37M18@33090|Viridiplantae,3G7GH@35493|Streptophyta,44GQW@71274|asterids	35493|Streptophyta	D	Mitotic checkpoint protein	-	GO:0000070,GO:0000075,GO:0000278,GO:0000280,GO:0000775,GO:0000776,GO:0000819,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005694,GO:0005819,GO:0005856,GO:0006996,GO:0007049,GO:0007059,GO:0007080,GO:0007088,GO:0007093,GO:0007094,GO:0007346,GO:0008150,GO:0008608,GO:0009987,GO:0010564,GO:0010639,GO:0010948,GO:0010965,GO:0012505,GO:0015630,GO:0016043,GO:0022402,GO:0030071,GO:0031577,GO:0031967,GO:0031975,GO:0032991,GO:0033043,GO:0033044,GO:0033045,GO:0033046,GO:0033047,GO:0033048,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044430,GO:0044446,GO:0044464,GO:0045786,GO:0045839,GO:0045841,GO:0045930,GO:0048285,GO:0048519,GO:0048523,GO:0050000,GO:0050789,GO:0050794,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051276,GO:0051303,GO:0051310,GO:0051315,GO:0051640,GO:0051641,GO:0051649,GO:0051656,GO:0051726,GO:0051783,GO:0051784,GO:0051983,GO:0051985,GO:0065007,GO:0071173,GO:0071174,GO:0071840,GO:0072686,GO:0098687,GO:0098813,GO:0140014,GO:1901987,GO:1901988,GO:1901990,GO:1901991,GO:1902099,GO:1902100,GO:1903047,GO:1905818,GO:1905819,GO:2000816,GO:2001251	-	ko:K06638,ko:K20855	ko04110,ko04914,ko05203,map04110,map04914,map05203	-	-	-	ko00000,ko00001,ko01000,ko01003,ko03036	-	GT31	-	DUF4094,Galactosyl_T,MAD
g3884	4113.PGSC0003DMT400034090	0.0	1960.0	2CND2@1|root,2QVBR@2759|Eukaryota,37TAH@33090|Viridiplantae,3GHU5@35493|Streptophyta,44S83@71274|asterids	35493|Streptophyta	L	Toll - interleukin 1 - resistance	-	-	-	-	-	-	-	-	-	-	-	-	LRR_8,NB-ARC,TIR
g3894	4113.PGSC0003DMT400046894	0.0	1707.0	2CND2@1|root,2QVBR@2759|Eukaryota,37TAH@33090|Viridiplantae,3H04V@35493|Streptophyta,44NMV@71274|asterids	35493|Streptophyta	T	Toll - interleukin 1 - resistance	-	-	-	-	-	-	-	-	-	-	-	-	NB-ARC,TIR
g3948	4113.PGSC0003DMT400047079	0.0	1167.0	2CNCU@1|root,2QV9I@2759|Eukaryota,37NBF@33090|Viridiplantae,3GCC0@35493|Streptophyta,44E8W@71274|asterids	35493|Streptophyta	K	Transcription factor	PIF3	GO:0000976,GO:0001067,GO:0001101,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0007154,GO:0007165,GO:0007275,GO:0008150,GO:0009314,GO:0009416,GO:0009628,GO:0009639,GO:0009640,GO:0009704,GO:0009719,GO:0009725,GO:0009739,GO:0009740,GO:0009755,GO:0009791,GO:0009889,GO:0009893,GO:0009987,GO:0010017,GO:0010033,GO:0010468,GO:0010476,GO:0010556,GO:0019219,GO:0019222,GO:0023052,GO:0031323,GO:0031326,GO:0031537,GO:0031539,GO:0032501,GO:0032502,GO:0032870,GO:0033993,GO:0042221,GO:0042802,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044424,GO:0044464,GO:0048518,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0051716,GO:0060255,GO:0065007,GO:0070887,GO:0071214,GO:0071229,GO:0071310,GO:0071370,GO:0071396,GO:0071478,GO:0071482,GO:0071489,GO:0071495,GO:0080090,GO:0097159,GO:0104004,GO:0140110,GO:1901363,GO:1901700,GO:1901701,GO:1903506,GO:1990837,GO:2000112,GO:2001141	-	ko:K12126	ko04075,ko04712,map04075,map04712	-	-	-	ko00000,ko00001,ko03000	-	-	-	HLH
g3978	4081.Solyc01g101110.2.1	0.0	1136.0	COG5072@1|root,KOG2464@2759|Eukaryota,37IAB@33090|Viridiplantae,3G9WZ@35493|Streptophyta,44F7Z@71274|asterids	35493|Streptophyta	D	Serine threonine-protein kinase Haspin	-	GO:0000278,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006325,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007049,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009987,GO:0016043,GO:0016301,GO:0016310,GO:0016569,GO:0016570,GO:0016572,GO:0016740,GO:0016772,GO:0016773,GO:0018107,GO:0018193,GO:0018210,GO:0019538,GO:0023052,GO:0035173,GO:0035184,GO:0035402,GO:0035405,GO:0035407,GO:0035556,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051276,GO:0051716,GO:0065007,GO:0071704,GO:0071840,GO:0072354,GO:0072355,GO:0140096,GO:1901564	2.7.11.1	ko:K16315	-	-	-	-	ko00000,ko01000,ko01001,ko03036	-	-	-	Haspin_kinase
g4042	4113.PGSC0003DMT400007153	1.08e-298	827.0	2CMYS@1|root,2QSTQ@2759|Eukaryota,37PUT@33090|Viridiplantae,3G7SI@35493|Streptophyta,44HS3@71274|asterids	35493|Streptophyta	S	PAPA-1-like conserved region	-	-	-	ko:K11666	-	-	-	-	ko00000,ko03036	-	-	-	PAPA-1,zf-HIT
g4173	4081.Solyc01g099220.2.1	0.0	3291.0	COG0417@1|root,KOG0968@2759|Eukaryota,37RRF@33090|Viridiplantae,3GCAV@35493|Streptophyta,44IJ6@71274|asterids	35493|Streptophyta	L	C4-type zinc-finger of DNA polymerase delta	-	-	2.7.7.7	ko:K02350	ko01100,ko01524,ko03460,map01100,map01524,map03460	M00293	-	-	ko00000,ko00001,ko00002,ko01000,ko03400	-	-	-	DNA_pol_B,DNA_pol_B_exo1,zf-C4pol
g4177	4081.Solyc01g099160.2.1	0.0	1608.0	28IFU@1|root,2QQSP@2759|Eukaryota,37NCX@33090|Viridiplantae,3GAA6@35493|Streptophyta,44QHC@71274|asterids	35493|Streptophyta	E	Plant lipoxygenase may be involved in a number of diverse aspects of plant physiology including growth and development, pest resistance, and senescence or responses to wounding	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	1.13.11.58	ko:K15718	ko00591,map00591	-	R07057	RC00561	ko00000,ko00001,ko01000	-	-	-	Lipoxygenase,PLAT
g4348	4113.PGSC0003DMT400050096	1.11e-249	694.0	28JM3@1|root,2QS0A@2759|Eukaryota,37KSE@33090|Viridiplantae,3GE66@35493|Streptophyta,44F4X@71274|asterids	35493|Streptophyta	K	Light-inducible protein CPRF2-like	-	GO:0001101,GO:0001678,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006109,GO:0006355,GO:0008150,GO:0009719,GO:0009725,GO:0009737,GO:0009743,GO:0009746,GO:0009749,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010557,GO:0010581,GO:0010604,GO:0010628,GO:0010675,GO:0010962,GO:0019219,GO:0019222,GO:0019725,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032870,GO:0032881,GO:0032885,GO:0033500,GO:0033993,GO:0034284,GO:0042221,GO:0042592,GO:0042593,GO:0042802,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043255,GO:0043565,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0046982,GO:0046983,GO:0048518,GO:0048522,GO:0048878,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051716,GO:0055082,GO:0060255,GO:0065007,GO:0065008,GO:0070887,GO:0071215,GO:0071229,GO:0071310,GO:0071322,GO:0071326,GO:0071331,GO:0071333,GO:0071396,GO:0071495,GO:0080090,GO:0097159,GO:0097305,GO:0097306,GO:0140110,GO:1901363,GO:1901700,GO:1901701,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2000904,GO:2001141	-	-	-	-	-	-	-	-	-	-	bZIP_1,bZIP_C
