## Sat May 10 03:21:49 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_wspllvk9 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_wspllvk9 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_wspllvk9/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g464	4081.Solyc01g007320.2.1	0.0	946.0	COG0055@1|root,COG0355@1|root,KOG1350@2759|Eukaryota,KOG1758@2759|Eukaryota,37K5M@33090|Viridiplantae,3GCIP@35493|Streptophyta	35493|Streptophyta	C	ATP synthase subunit beta	atpB	-	3.6.3.14	ko:K02112	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	3.A.2.1	-	-	ATP-synt_DE_N,ATP-synt_ab,ATP-synt_ab_N
g648	4081.Solyc00g244290.1.1	1.04e-118	338.0	COG1007@1|root,KOG4668@2759|Eukaryota,38006@33090|Viridiplantae,3GPQB@35493|Streptophyta	35493|Streptophyta	C	Proton-conducting membrane transporter	-	-	-	-	-	-	-	-	-	-	-	-	Proton_antipo_M
g680	4081.Solyc00g244290.1.1	1.04e-118	338.0	COG1007@1|root,KOG4668@2759|Eukaryota,38006@33090|Viridiplantae,3GPQB@35493|Streptophyta	35493|Streptophyta	C	Proton-conducting membrane transporter	-	-	-	-	-	-	-	-	-	-	-	-	Proton_antipo_M
g1021	3702.ATCG00580.1	1.28e-54	170.0	2CHYC@1|root,2S3QA@2759|Eukaryota,37V66@33090|Viridiplantae,3GJP6@35493|Streptophyta,3I13S@3699|Brassicales	35493|Streptophyta	C	This b-type cytochrome is tightly associated with the reaction center of photosystem II (PSII). PSII is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation	psbE	-	-	ko:K02707	ko00195,ko01100,map00195,map01100	M00161	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	Cytochrom_B559,Cytochrom_B559a
g1109	4113.PGSC0003DMT400071867	1.63e-52	167.0	2E8J1@1|root,2SF10@2759|Eukaryota,37XUZ@33090|Viridiplantae,3GMW1@35493|Streptophyta,44UFY@71274|asterids	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g2150	981085.XP_010106598.1	7.52e-16	75.5	2E13Y@1|root,2S8GD@2759|Eukaryota,38843@33090|Viridiplantae,3GW79@35493|Streptophyta,4JVE3@91835|fabids	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g2178	3702.ATMG00520.1	0.0	1158.0	COG3344@1|root,KOG4768@2759|Eukaryota,37KUX@33090|Viridiplantae,3GHBI@35493|Streptophyta,3HZNG@3699|Brassicales	35493|Streptophyta	A	Intron maturase, type II family protein	matR	-	-	-	-	-	-	-	-	-	-	-	Intron_maturas2
g2180	4081.Solyc00g244290.1.1	1.04e-118	338.0	COG1007@1|root,KOG4668@2759|Eukaryota,38006@33090|Viridiplantae,3GPQB@35493|Streptophyta	35493|Streptophyta	C	Proton-conducting membrane transporter	-	-	-	-	-	-	-	-	-	-	-	-	Proton_antipo_M
g2379	4081.Solyc01g007320.2.1	0.0	946.0	COG0055@1|root,COG0355@1|root,KOG1350@2759|Eukaryota,KOG1758@2759|Eukaryota,37K5M@33090|Viridiplantae,3GCIP@35493|Streptophyta	35493|Streptophyta	C	ATP synthase subunit beta	atpB	-	3.6.3.14	ko:K02112	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	3.A.2.1	-	-	ATP-synt_DE_N,ATP-synt_ab,ATP-synt_ab_N
g3222	4113.PGSC0003DMT400064806	6.62e-230	644.0	KOG0254@1|root,KOG0254@2759|Eukaryota,37IW9@33090|Viridiplantae,3GC0D@35493|Streptophyta,44DS2@71274|asterids	35493|Streptophyta	U	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	-	GO:0003674,GO:0005215,GO:0005351,GO:0005354,GO:0005355,GO:0005365,GO:0005402,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0007275,GO:0008150,GO:0008324,GO:0008643,GO:0008645,GO:0009653,GO:0009791,GO:0010015,GO:0010101,GO:0010102,GO:0010311,GO:0015075,GO:0015077,GO:0015078,GO:0015144,GO:0015145,GO:0015146,GO:0015148,GO:0015149,GO:0015166,GO:0015168,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015575,GO:0015576,GO:0015591,GO:0015672,GO:0015749,GO:0015750,GO:0015752,GO:0015753,GO:0015757,GO:0015791,GO:0015793,GO:0015795,GO:0015797,GO:0015798,GO:0015850,GO:0016020,GO:0022622,GO:0022804,GO:0022857,GO:0022890,GO:0032501,GO:0032502,GO:0034219,GO:0034220,GO:0042995,GO:0044464,GO:0046323,GO:0048364,GO:0048527,GO:0048528,GO:0048646,GO:0048731,GO:0048856,GO:0051119,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0090406,GO:0090696,GO:0090697,GO:0090698,GO:0098655,GO:0098660,GO:0098662,GO:0099402,GO:0120025,GO:1901618,GO:1902600,GO:1904659,GO:1905392,GO:1905393	-	-	-	-	-	-	-	-	-	-	Sugar_tr
g3711	4113.PGSC0003DMT400076545	5.51e-62	191.0	2914H@1|root,2R808@2759|Eukaryota,3888U@33090|Viridiplantae,3GZ39@35493|Streptophyta,44TZW@71274|asterids	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g3813	4113.PGSC0003DMT400064042	2.65e-241	667.0	COG0101@1|root,KOG4393@2759|Eukaryota,37SX5@33090|Viridiplantae,3GB34@35493|Streptophyta,44C48@71274|asterids	35493|Streptophyta	J	tRNA pseudouridine synthase	-	-	5.4.99.12	ko:K06173	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	PseudoU_synth_1
g4072	4113.PGSC0003DMT400063627	0.0	976.0	KOG4197@1|root,KOG4197@2759|Eukaryota,37S0P@33090|Viridiplantae,3GAM7@35493|Streptophyta,44C5X@71274|asterids	35493|Streptophyta	S	Ppx/GppA phosphatase family	-	-	-	ko:K15442	-	-	-	-	ko00000,ko03016	-	-	-	HD,Ppx-GppA
g4107	4113.PGSC0003DMT400063728	0.0	1036.0	COG4677@1|root,2QU1M@2759|Eukaryota,37JA9@33090|Viridiplantae,3GC0I@35493|Streptophyta,44F16@71274|asterids	35493|Streptophyta	G	Acts in the modification of cell walls via demethylesterification of cell wall pectin	-	GO:0003674,GO:0003824,GO:0004857,GO:0005575,GO:0005623,GO:0008150,GO:0016787,GO:0016788,GO:0030234,GO:0030599,GO:0043086,GO:0044092,GO:0044464,GO:0046910,GO:0050790,GO:0052689,GO:0065007,GO:0065009,GO:0071944,GO:0098772	3.1.1.11	ko:K01051	ko00040,ko01100,map00040,map01100	M00081	R02362	RC00460,RC00461	ko00000,ko00001,ko00002,ko01000	-	-	-	PMEI,Pectinesterase
