## Mon May 19 19:46:05 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_qjfykbo1 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_qjfykbo1 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_qjfykbo1/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
M82_01g056720.3.1	4098.XP_009617730.1	1.29e-150	426.0	COG0580@1|root,KOG0223@2759|Eukaryota,37SIZ@33090|Viridiplantae,3GE1Y@35493|Streptophyta,44FGM@71274|asterids	35493|Streptophyta	P	Belongs to the MIP aquaporin (TC 1.A.8) family	SIP2-1	GO:0003674,GO:0005215,GO:0005372,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006833,GO:0008150,GO:0015250,GO:0015267,GO:0015318,GO:0016020,GO:0016021,GO:0022803,GO:0022838,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0042044,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944	-	ko:K09875	-	-	-	-	ko00000,ko02000	1.A.8	-	-	MIP
M82_01g080770.3.1	4081.Solyc01g080770.2.1	0.0	952.0	COG4886@1|root,2QXPR@2759|Eukaryota,37QCH@33090|Viridiplantae,3G9EP@35493|Streptophyta,44PK0@71274|asterids	35493|Streptophyta	T	Leucine rich repeat N-terminal domain	-	GO:0000003,GO:0003006,GO:0005575,GO:0005623,GO:0005886,GO:0007275,GO:0008150,GO:0009791,GO:0009888,GO:0009908,GO:0010073,GO:0010075,GO:0016020,GO:0022414,GO:0032501,GO:0032502,GO:0040008,GO:0044464,GO:0048367,GO:0048437,GO:0048507,GO:0048509,GO:0048608,GO:0048638,GO:0048731,GO:0048856,GO:0050789,GO:0050793,GO:0061458,GO:0065007,GO:0071944,GO:0090567,GO:0099402	-	-	-	-	-	-	-	-	-	-	LRRNT_2,LRR_1,LRR_4,LRR_6,LRR_8,Pkinase,Pkinase_Tyr
M82_01g086840.3.1	4081.Solyc01g086840.1.1	4.35e-182	505.0	2CNF0@1|root,2QVSQ@2759|Eukaryota,37STZ@33090|Viridiplantae,3GH8P@35493|Streptophyta,44N66@71274|asterids	35493|Streptophyta	O	Thaumatin family	-	-	-	-	-	-	-	-	-	-	-	-	Thaumatin
M82_02g079380.2.1	4081.Solyc02g079380.1.1	0.0	1657.0	KOG4197@1|root,KOG4197@2759|Eukaryota,37N5Q@33090|Viridiplantae,3GH38@35493|Streptophyta,44GEI@71274|asterids	35493|Streptophyta	S	Pentatricopeptide repeat-containing protein	-	GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009507,GO:0009536,GO:0009987,GO:0016070,GO:0016071,GO:0016556,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:1901360,GO:1901363	-	-	-	-	-	-	-	-	-	-	DYW_deaminase,PPR,PPR_2
M82_02g080080.3.1	4081.Solyc02g080080.2.1	0.0	1259.0	COG0515@1|root,2QWDY@2759|Eukaryota,37QJ4@33090|Viridiplantae,3G71R@35493|Streptophyta	35493|Streptophyta	T	Cysteine-rich receptor-like protein kinase	-	GO:0001101,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0009605,GO:0009607,GO:0009617,GO:0009719,GO:0009725,GO:0009737,GO:0009987,GO:0010033,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0033993,GO:0036211,GO:0042221,GO:0042742,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051704,GO:0051707,GO:0071704,GO:0071944,GO:0097305,GO:0098542,GO:0140096,GO:1901564,GO:1901700	-	-	-	-	-	-	-	-	-	-	Pkinase,Pkinase_Tyr,Stress-antifung
M82_02g091230.3.1	4081.Solyc02g091230.2.1	1.01e-151	428.0	COG5183@1|root,KOG1609@2759|Eukaryota,37K95@33090|Viridiplantae,3GCDA@35493|Streptophyta,44PU9@71274|asterids	35493|Streptophyta	A	Protein of unknown function (DUF3675)	-	GO:0002376,GO:0002520,GO:0003674,GO:0003824,GO:0004842,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006464,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0009987,GO:0012505,GO:0016567,GO:0016740,GO:0019538,GO:0019787,GO:0030097,GO:0031410,GO:0031982,GO:0032446,GO:0032501,GO:0032502,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0048513,GO:0048534,GO:0048731,GO:0048856,GO:0070647,GO:0071704,GO:0097708,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	DUF3675,RINGv
M82_02g092890.1.1	4081.Solyc02g092890.1.1	3.12e-56	175.0	2E3QK@1|root,2R81U@2759|Eukaryota,388A2@33090|Viridiplantae,3GWE6@35493|Streptophyta,44U62@71274|asterids	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M82_02g093500.3.1	4081.Solyc02g093500.2.1	1.21e-281	769.0	28K72@1|root,2QRBK@2759|Eukaryota,37SA3@33090|Viridiplantae,3G989@35493|Streptophyta,44MDY@71274|asterids	35493|Streptophyta	S	GDSL-like Lipase/Acylhydrolase	-	GO:0005575,GO:0005618,GO:0005623,GO:0005911,GO:0009505,GO:0009506,GO:0030054,GO:0030312,GO:0044464,GO:0055044,GO:0071944	-	-	-	-	-	-	-	-	-	-	Lipase_GDSL
M82_03g005020.3.1	4081.Solyc03g005020.2.1	9.86e-304	827.0	COG0596@1|root,KOG2624@2759|Eukaryota,37J13@33090|Viridiplantae,3GBVW@35493|Streptophyta,44PI5@71274|asterids	35493|Streptophyta	I	Belongs to the AB hydrolase superfamily. Lipase family	-	GO:0002213,GO:0003674,GO:0003824,GO:0006950,GO:0006952,GO:0008150,GO:0016298,GO:0016787,GO:0016788,GO:0050896	3.1.1.13	ko:K01052	ko00100,ko04142,ko04979,map00100,map04142,map04979	-	R01462	RC00055,RC00523	ko00000,ko00001,ko01000	-	-	-	Abhydro_lipase,Abhydrolase_1,Hydrolase_4
M82_03g078780.2.1	4081.Solyc03g078810.2.1	1.24e-308	844.0	KOG1192@1|root,KOG1192@2759|Eukaryota,37P6G@33090|Viridiplantae,3GH1F@35493|Streptophyta,44F15@71274|asterids	35493|Streptophyta	CG	Belongs to the UDP-glycosyltransferase family	-	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0008194,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0046527,GO:0047254,GO:0080043,GO:0080044	1.14.14.1,2.4.1.202	ko:K07408,ko:K13227,ko:K13493	ko00140,ko00380,ko00402,ko00830,ko00908,ko00980,ko01100,ko01110,ko04913,ko05204,map00140,map00380,map00402,map00830,map00908,map00980,map01100,map01110,map04913,map05204	-	R02354,R02355,R03089,R03408,R03629,R04579,R07000,R07001,R07021,R07022,R07079,R07080,R07081,R07085,R07087,R07098,R07099,R07426,R08075,R08390,R08392,R09418,R09423,R09442	RC00005,RC00046,RC00049,RC00122,RC00661,RC00704,RC00723,RC00724,RC01444,RC01445,RC01727,RC01732,RC01733,RC02531	ko00000,ko00001,ko00199,ko01000,ko01003	-	GT1	-	UDPGT
