## Mon May 19 19:33:23 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_m55g7mdv --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_m55g7mdv --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_m55g7mdv/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
M82_03g079910.3.1	4081.Solyc03g079910.2.1	0.0	1131.0	KOG1703@1|root,KOG1703@2759|Eukaryota,37MDT@33090|Viridiplantae,3G950@35493|Streptophyta,44MH1@71274|asterids	35493|Streptophyta	TZ	Protein DA1	-	GO:0003674,GO:0005488,GO:0005515,GO:0007275,GO:0008150,GO:0009888,GO:0010087,GO:0010088,GO:0022622,GO:0032182,GO:0032501,GO:0032502,GO:0043130,GO:0048364,GO:0048731,GO:0048856,GO:0099402	-	-	-	-	-	-	-	-	-	-	DA1-like,LIM
M82_08g062780.2.1	4081.Solyc08g062780.1.1	0.0	1122.0	2CMME@1|root,2QQUB@2759|Eukaryota,37JFA@33090|Viridiplantae,3GEWB@35493|Streptophyta,44PMD@71274|asterids	35493|Streptophyta	K	Transcription factor ABORTED MICROSPORES	-	GO:0000003,GO:0000976,GO:0000977,GO:0000978,GO:0000987,GO:0001012,GO:0001067,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0007275,GO:0008150,GO:0009555,GO:0009653,GO:0009791,GO:0009889,GO:0009908,GO:0009987,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0022414,GO:0030154,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044424,GO:0044464,GO:0048229,GO:0048367,GO:0048437,GO:0048438,GO:0048443,GO:0048444,GO:0048448,GO:0048449,GO:0048455,GO:0048466,GO:0048608,GO:0048646,GO:0048653,GO:0048654,GO:0048655,GO:0048656,GO:0048657,GO:0048658,GO:0048731,GO:0048827,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0061458,GO:0065007,GO:0080090,GO:0090567,GO:0090696,GO:0090697,GO:0090698,GO:0097159,GO:0099402,GO:0140110,GO:1901363,GO:1903506,GO:1905392,GO:1905393,GO:1990837,GO:2000112,GO:2001141	2.7.1.43	ko:K16190	ko00040,ko00053,ko00520,ko01100,map00040,map00053,map00520,map01100	M00014	R01476	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	HLH,bHLH-MYC_N
M82_00g005000.3.1	4081.Solyc00g005000.2.1	0.0	868.0	KOG1339@1|root,KOG1339@2759|Eukaryota,37NQN@33090|Viridiplantae,3G9X0@35493|Streptophyta,44NWJ@71274|asterids	35493|Streptophyta	O	Eukaryotic aspartyl protease	-	GO:0003674,GO:0003824,GO:0004175,GO:0004190,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009056,GO:0009057,GO:0016787,GO:0019538,GO:0030163,GO:0043170,GO:0044238,GO:0070001,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575	-	-	-	-	-	-	-	-	-	-	TAXi_C,TAXi_N
M82_00g006830.3.1	4081.Solyc00g006830.2.1	0.0	2083.0	28JAG@1|root,2QRPB@2759|Eukaryota,37N7T@33090|Viridiplantae,3GBXR@35493|Streptophyta,44B5N@71274|asterids	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M82_01g005240.3.1	4081.Solyc01g005240.2.1	0.0	1088.0	COG0527@1|root,KOG0456@2759|Eukaryota,37J4Y@33090|Viridiplantae,3GBKM@35493|Streptophyta,44I4Y@71274|asterids	35493|Streptophyta	E	Amino acid kinase family	-	-	2.7.2.4	ko:K00928	ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01210,map01230	M00016,M00017,M00018,M00033,M00525,M00526,M00527	R00480	RC00002,RC00043	ko00000,ko00001,ko00002,ko01000	-	-	-	AA_kinase
M82_01g005350.3.1	4081.Solyc01g005350.2.1	2.34e-239	657.0	28IIJ@1|root,2QUIN@2759|Eukaryota,37QVS@33090|Viridiplantae,3GBG7@35493|Streptophyta,44MXV@71274|asterids	35493|Streptophyta	S	Conserved gene of	-	-	2.1.1.276	ko:K18886	-	-	-	-	ko00000,ko01000	-	-	-	Methyltransf_7
M82_01g005790.1.1	4081.Solyc01g005790.1.1	8.76e-52	177.0	KOG4197@1|root,KOG4197@2759|Eukaryota,37QT6@33090|Viridiplantae,3G8YD@35493|Streptophyta,44HMU@71274|asterids	35493|Streptophyta	S	Pentatricopeptide repeat-containing protein	-	GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:1901360,GO:1901363	-	-	-	-	-	-	-	-	-	-	PPR,PPR_2
M82_01g006040.3.1	4081.Solyc01g006040.2.1	0.0	1046.0	KOG0978@1|root,KOG0978@2759|Eukaryota,37MHZ@33090|Viridiplantae,3GBBB@35493|Streptophyta,44CQR@71274|asterids	35493|Streptophyta	O	Zinc finger, C3HC4 type (RING finger)	-	GO:0000003,GO:0002376,GO:0003006,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006325,GO:0006464,GO:0006513,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0006996,GO:0007275,GO:0008150,GO:0008152,GO:0009653,GO:0009791,GO:0009965,GO:0009987,GO:0010016,GO:0010154,GO:0010162,GO:0010228,GO:0010390,GO:0010431,GO:0016043,GO:0016567,GO:0016569,GO:0016570,GO:0016574,GO:0019538,GO:0021700,GO:0022414,GO:0022611,GO:0032446,GO:0032501,GO:0032502,GO:0032504,GO:0033523,GO:0036211,GO:0042802,GO:0042803,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0045087,GO:0046983,GO:0048316,GO:0048366,GO:0048367,GO:0048608,GO:0048609,GO:0048731,GO:0048827,GO:0048856,GO:0050896,GO:0051276,GO:0061458,GO:0070647,GO:0071695,GO:0071704,GO:0071840,GO:0099402,GO:1901564,GO:1905392	2.3.2.27	ko:K10696	-	-	-	-	ko00000,ko01000,ko04121	-	-	-	zf-C3HC4_3
M82_01g006620.3.1	4081.Solyc01g006620.2.1	0.0	1038.0	2CNF9@1|root,2QVV1@2759|Eukaryota,37ZHA@33090|Viridiplantae,3GP8C@35493|Streptophyta,44H4Y@71274|asterids	35493|Streptophyta	S	Multiple C2 and transmembrane domain-containing protein 1-like	-	-	-	-	-	-	-	-	-	-	-	-	C2,PRT_C
M82_01g006650.2.1	4081.Solyc01g006650.1.1	0.0	1172.0	2CCFI@1|root,2QQCD@2759|Eukaryota,37S37@33090|Viridiplantae,3GB42@35493|Streptophyta,44H1C@71274|asterids	35493|Streptophyta	S	Ethylene insensitive 3	-	GO:0000160,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0006355,GO:0007154,GO:0007165,GO:0008150,GO:0009719,GO:0009723,GO:0009725,GO:0009755,GO:0009873,GO:0009889,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010039,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0023052,GO:0031323,GO:0031326,GO:0032870,GO:0035556,GO:0042221,GO:0042762,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0051716,GO:0060255,GO:0065007,GO:0070887,GO:0071241,GO:0071248,GO:0071281,GO:0071310,GO:0071369,GO:0071495,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1903506,GO:2000112,GO:2001141	-	ko:K14514	ko04016,ko04075,map04016,map04075	-	-	-	ko00000,ko00001,ko03000	-	-	-	EIN3
