## Mon May 19 19:43:15 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_sz7nxbo2 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_sz7nxbo2 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_sz7nxbo2/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
M82_00g005000.3.1	4081.Solyc00g005000.2.1	0.0	868.0	KOG1339@1|root,KOG1339@2759|Eukaryota,37NQN@33090|Viridiplantae,3G9X0@35493|Streptophyta,44NWJ@71274|asterids	35493|Streptophyta	O	Eukaryotic aspartyl protease	-	GO:0003674,GO:0003824,GO:0004175,GO:0004190,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009056,GO:0009057,GO:0016787,GO:0019538,GO:0030163,GO:0043170,GO:0044238,GO:0070001,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575	-	-	-	-	-	-	-	-	-	-	TAXi_C,TAXi_N
M82_01g007960.3.1	4081.Solyc01g007960.2.1	0.0	1276.0	COG0515@1|root,2QRU4@2759|Eukaryota,37RSJ@33090|Viridiplantae,3GDXG@35493|Streptophyta,44QSN@71274|asterids	35493|Streptophyta	T	Salt stress response/antifungal	-	GO:0000302,GO:0001101,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005623,GO:0005886,GO:0005911,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009506,GO:0009987,GO:0010035,GO:0010193,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0030054,GO:0036211,GO:0042221,GO:0042493,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0046677,GO:0046777,GO:0050896,GO:0055044,GO:0071704,GO:0071944,GO:0140096,GO:1901564,GO:1901700	-	-	-	-	-	-	-	-	-	-	Pkinase,Pkinase_Tyr,Stress-antifung
M82_01g073695.1.1	4081.Solyc01g073700.2.1	0.0	1035.0	COG0465@1|root,KOG0743@2759|Eukaryota,37PUV@33090|Viridiplantae,3GEQC@35493|Streptophyta,44NSU@71274|asterids	35493|Streptophyta	O	Domain associated at C-terminal with AAA	-	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006996,GO:0007005,GO:0008150,GO:0009987,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017004,GO:0017062,GO:0017111,GO:0019866,GO:0022607,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0033108,GO:0034551,GO:0034622,GO:0042623,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0065003,GO:0071840	-	ko:K08900	-	-	-	-	ko00000,ko03029	-	-	-	AAA,AAA_assoc,Pkinase
M82_01g090560.3.1	4081.Solyc01g090560.2.1	1.71e-142	408.0	28PHQ@1|root,2QW5S@2759|Eukaryota,37TGX@33090|Viridiplantae,3GHGV@35493|Streptophyta,44K01@71274|asterids	35493|Streptophyta	K	DNA-binding domain in plant proteins such as APETALA2 and EREBPs	-	-	-	-	-	-	-	-	-	-	-	-	AP2
M82_01g091690.3.1	4081.Solyc01g091690.2.1	0.0	1339.0	28I6U@1|root,2QQT2@2759|Eukaryota,37KBU@33090|Viridiplantae,3GG02@35493|Streptophyta,44CYY@71274|asterids	35493|Streptophyta	S	Putative S-adenosyl-L-methionine-dependent methyltransferase	-	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0008150,GO:0008152,GO:0008168,GO:0008757,GO:0012505,GO:0016740,GO:0016741,GO:0031410,GO:0031982,GO:0031984,GO:0032259,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0097708,GO:0098791	-	-	-	-	-	-	-	-	-	-	Methyltransf_29
M82_11g021140.1.1	4081.Solyc01g007680.1.1	1.43e-87	257.0	2BZY4@1|root,2SFA2@2759|Eukaryota,37XQZ@33090|Viridiplantae,3GMPC@35493|Streptophyta	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M82_01g017080.1-c2.1	4081.Solyc01g017080.1.1	5.49e-87	263.0	2CQT8@1|root,2R5Q2@2759|Eukaryota,386GT@33090|Viridiplantae,3GUDY@35493|Streptophyta,44UFM@71274|asterids	4081.Solyc01g017080.1.1|-	S	Chloroplast protein precursor Ycf15 putative	-	-	-	-	-	-	-	-	-	-	-	-	-
M82_06g043036.1.1	4081.Solyc01g007720.2.1	6.51e-55	171.0	2DSTA@1|root,2S6GN@2759|Eukaryota,37W7A@33090|Viridiplantae,3GK4J@35493|Streptophyta,44TYG@71274|asterids	35493|Streptophyta	S	Protein of unknown function (DUF2647)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2647
M82_11g021140.1-c2.1	4081.Solyc01g007680.1.1	1.43e-87	257.0	2BZY4@1|root,2SFA2@2759|Eukaryota,37XQZ@33090|Viridiplantae,3GMPC@35493|Streptophyta	35493|Streptophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M82_02g067790.3.1	4081.Solyc02g067790.2.1	0.0	897.0	COG2223@1|root,2R19F@2759|Eukaryota,37NCY@33090|Viridiplantae,3GCAM@35493|Streptophyta,44FNN@71274|asterids	35493|Streptophyta	P	Major Facilitator Superfamily	-	GO:0000325,GO:0001101,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008509,GO:0009705,GO:0009987,GO:0010035,GO:0010167,GO:0015075,GO:0015103,GO:0015112,GO:0015318,GO:0015698,GO:0015706,GO:0016020,GO:0022857,GO:0031090,GO:0034220,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0070887,GO:0071229,GO:0071241,GO:0071249,GO:0071705,GO:0071944,GO:0098588,GO:0098656,GO:0098805,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902170	-	ko:K02575	ko00910,map00910	M00615	-	-	ko00000,ko00001,ko00002,ko02000	2.A.1.8	-	-	MFS_1
